"country","year","m014","m1524","m2534","m3544","m4554","m5564","m65","mu","f014","f1524","f2534","f3544","f4554","f5564","f65","fu"
"AD",2000,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AE",2000,2,4,4,6,5,12,10,NA,3,16,1,3,0,0,4,NA
"AF",2000,52,228,183,149,129,94,80,NA,93,414,565,339,205,99,36,NA
"AG",2000,0,0,0,0,0,0,1,NA,1,1,1,0,0,0,0,NA
"AL",2000,2,19,21,14,24,19,16,NA,3,11,10,8,8,5,11,NA
"AM",2000,2,152,130,131,63,26,21,NA,1,24,27,24,8,8,4,NA
"AN",2000,0,0,1,2,0,0,0,NA,0,0,1,0,0,1,0,NA
"AO",2000,186,999,1003,912,482,312,194,NA,247,1142,1091,844,417,200,120,NA
"AR",2000,97,278,594,402,419,368,330,NA,121,544,479,262,230,179,216,NA
"AS",2000,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"AT",2000,1,17,30,59,42,23,41,NA,1,11,22,12,11,6,22,NA
"AU",2000,3,16,35,25,24,19,49,NA,0,15,19,12,15,5,14,NA
"AZ",2000,0,9,24,33,42,30,0,NA,0,3,3,6,3,0,0,NA
"BA",2000,4,56,82,99,66,58,77,NA,4,30,46,29,29,48,124,NA
"BB",2000,0,0,0,2,0,0,0,NA,0,0,1,0,0,0,0,NA
"BD",2000,256,3640,5643,5750,4718,3667,2837,NA,495,3029,3238,2247,1315,778,370,NA
"BE",2000,3,20,57,39,55,32,56,NA,6,15,15,19,4,13,27,NA
"BF",2000,12,91,274,252,133,68,65,NA,7,59,128,101,45,38,14,NA
"BG",2000,0,13,16,20,3,9,10,NA,0,11,14,7,3,4,6,NA
"BH",2000,0,0,3,2,5,3,4,NA,0,1,2,0,1,1,1,NA
"BI",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BJ",2000,19,277,428,327,213,103,74,NA,36,239,275,149,76,45,25,NA
"BM",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BN",2000,0,6,4,15,5,7,15,NA,0,4,6,9,6,3,4,NA
"BO",2000,166,1182,797,518,466,340,366,NA,191,831,588,334,254,192,233,NA
"BR",2000,1894,7268,11568,11906,8623,5085,4494,NA,1859,6719,7215,5395,3582,2384,2496,NA
