,adj_close,close,date,high,low,open,volume
0,31.68,130.31,2000-03-01,132.06,118.5,118.56,38478000
1,29.66,122.0,2000-03-02,127.94,120.69,127.0,11136800
2,31.12,128.0,2000-03-03,128.23,120.0,124.87,11565200
3,30.56,125.69,2000-03-06,129.13,125.0,126.0,7520000
4,29.87,122.87,2000-03-07,127.44,121.12,126.44,9767600
5,29.66,122.0,2000-03-08,123.94,118.56,122.87,9690800
6,29.72,122.25,2000-03-09,125.0,118.25,120.87,9884400
7,30.57,125.75,2000-03-10,127.94,121.0,121.69,8900800
8,29.5,121.31,2000-03-13,126.5,119.5,122.12,10864400
9,27.78,114.25,2000-03-14,124.25,114.0,121.22,15321200
10,28.26,116.25,2000-03-15,120.25,114.12,115.62,15845200
11,29.56,121.56,2000-03-16,122.0,114.5,117.31,13516800
12,30.39,125.0,2000-03-17,125.0,119.62,120.12,10902400
13,29.91,123.0,2000-03-20,126.25,122.37,123.5,7316400
14,32.81,134.94,2000-03-21,136.75,121.62,122.56,18729200
15,35.06,144.19,2000-03-22,144.38,131.56,132.78,20288800
16,34.36,141.31,2000-03-23,150.38,140.0,142.0,20098000
17,33.72,138.69,2000-03-24,143.94,135.5,142.44,15962000
18,33.93,139.56,2000-03-27,144.75,136.88,137.63,9976800
19,33.83,139.13,2000-03-28,142.0,137.13,137.25,7253600
20,33.05,135.94,2000-03-29,139.44,133.83,139.38,8568800
21,30.57,125.75,2000-03-30,137.69,125.44,133.56,14800000
22,33.02,135.81,2000-03-31,137.25,126.0,127.44,14457600
23,32.41,133.31,2000-04-03,139.5,129.44,135.5,11742400
24,30.95,127.31,2000-04-04,133.0,116.75,132.63,23596400
25,31.7,130.38,2000-04-05,132.88,124.0,126.47,16359200
26,30.44,125.19,2000-04-06,134.5,123.25,130.63,9290800
27,32.03,131.75,2000-04-07,131.88,125.5,127.25,8668800
28,30.39,125.0,2000-04-10,132.75,124.75,131.69,7592400
29,29.04,119.44,2000-04-11,124.87,118.06,123.5,19368000
30,26.56,109.25,2000-04-12,119.0,104.87,119.0,33618800
31,27.67,113.81,2000-04-13,120.0,108.5,111.5,18923600
32,27.2,111.87,2000-04-14,118.0,109.0,109.31,23845600
33,30.12,123.87,2000-04-17,123.94,109.06,109.5,14642400
34,30.85,126.87,2000-04-18,126.87,119.37,123.5,13962400
35,29.45,121.12,2000-04-19,130.25,119.75,126.19,18586400
36,28.9,118.87,2000-04-20,124.75,117.06,123.69,25806800
37,29.3,120.5,2000-04-24,120.5,114.75,115.0,15845600
38,31.2,128.31,2000-04-25,128.75,122.06,122.12,14002400
39,29.5,121.31,2000-04-26,128.0,120.0,126.62,13117600
40,30.82,126.75,2000-04-27,127.0,116.58,117.19,11678000
41,30.16,124.06,2000-04-28,127.5,121.31,127.12,8932400
42,30.22,124.31,2000-05-01,125.12,121.87,124.87,8100000
43,28.66,117.87,2000-05-02,126.25,117.5,123.25,8446400
44,27.98,115.06,2000-05-03,121.25,111.62,118.94,17500000
45,26.91,110.69,2000-05-04,115.25,110.56,115.12,14284400
46,27.5,113.12,2000-05-05,114.75,110.72,110.81,10160000
47,26.77,110.12,2000-05-08,113.69,110.0,112.09,6605600
48,25.64,105.44,2000-05-09,111.25,104.87,110.31,11685600
49,24.15,99.31,2000-05-10,105.0,98.75,104.06,19127600
50,25.0,102.81,2000-05-11,104.25,99.0,101.37,17852400
51,26.17,107.62,2000-05-12,110.5,104.77,106.0,10962000
52,24.56,101.0,2000-05-15,108.06,100.12,108.06,24252000
53,25.7,105.69,2000-05-16,109.06,102.75,104.52,15736400
54,24.65,101.37,2000-05-17,103.69,100.37,103.62,14227600
55,24.5,100.75,2000-05-18,104.94,100.62,103.0,13365600
56,22.85,94.0,2000-05-19,99.25,93.37,99.25,26459200
57,21.87,89.94,2000-05-22,93.75,86.0,93.75,26995200
58,20.86,85.81,2000-05-23,93.37,85.62,90.5,18488000
59,21.32,87.69,2000-05-24,89.75,83.0,86.19,24248000
60,21.22,87.27,2000-05-25,92.66,86.0,88.5,14530800
61,21.0,86.37,2000-05-26,89.87,85.25,88.0,6486400
62,21.29,87.56,2000-05-30,88.12,81.75,87.62,25481200
63,20.42,84.0,2000-05-31,91.25,83.81,86.87,15483600
64,21.67,89.12,2000-06-01,89.56,80.37,81.75,32280000
65,22.5,92.56,2000-06-02,99.75,89.0,93.75,28336400
66,22.2,91.31,2000-06-05,95.25,89.69,93.31,11582000
67,22.58,92.87,2000-06-06,96.75,90.31,91.97,18771200
68,23.48,96.56,2000-06-07,97.0,91.62,93.62,12056800
69,23.05,94.81,2000-06-08,98.5,93.12,97.62,8540800
70,23.28,95.75,2000-06-09,97.94,94.37,96.75,9020000
71,22.17,91.19,2000-06-12,96.44,90.87,96.37,10374400
72,22.98,94.5,2000-06-13,94.69,88.19,91.19,12570000
73,21.99,90.44,2000-06-14,96.25,90.12,94.69,9925200
74,22.46,92.37,2000-06-15,93.37,89.0,91.25,8898800
75,22.17,91.19,2000-06-16,93.75,89.06,93.5,10842400
76,23.49,96.62,2000-06-19,97.87,89.81,90.56,14089200
77,24.62,101.25,2000-06-20,103.94,98.37,98.5,17922000
78,27.05,55.63,2000-06-21,56.94,50.31,50.5,17500000
79,26.14,53.75,2000-06-22,57.63,53.56,55.75,16706200
80,25.14,51.69,2000-06-23,54.63,50.81,53.78,7320400
81,26.32,54.13,2000-06-26,54.75,52.13,52.5,6631000
82,25.16,51.75,2000-06-27,55.5,51.63,53.78,7270600
83,26.47,54.44,2000-06-28,55.38,51.5,53.31,10235000
84,24.92,51.25,2000-06-29,53.94,51.06,53.06,7281200
