datetime,isig,glucose
2010-10-07 00:03:00,22.1,150
2010-10-07 00:08:00,21.46,152
2010-10-07 00:13:00,21.06,149
2010-10-07 00:18:00,20.96,147
2010-10-07 00:23:00,21.52,148
2010-10-07 00:28:00,22.04,150
2010-10-07 00:33:00,21.94,152
2010-10-07 00:38:00,21.82,152
2010-10-07 00:43:00,21.7,152
2010-10-07 00:48:00,21.64,151
2010-10-07 00:53:00,21.62,151
2010-10-07 00:58:00,21.52,150
2010-10-07 01:03:00,21.22,149
2010-10-07 01:08:00,20.88,147
2010-10-07 01:13:00,20.7,146
2010-10-07 01:18:00,20.34,143
2010-10-07 01:23:00,19.68,140
2010-10-07 01:28:00,19.48,138
2010-10-07 01:33:00,19.48,136
2010-10-07 01:38:00,19.78,137
2010-10-07 01:43:00,20.18,138
2010-10-07 01:48:00,20.34,140
2010-10-07 01:53:00,19.56,138
2010-10-07 01:58:00,18.7,135
2010-10-07 02:03:00,18.54,132
2010-10-07 02:08:00,18.48,130
2010-10-07 02:13:00,18.54,129
2010-10-07 02:18:00,18.44,129
2010-10-07 02:23:00,18.58,129
2010-10-07 02:28:00,18.86,130
2010-10-07 02:33:00,18.56,130
2010-10-07 02:38:00,18.54,129
2010-10-07 02:43:00,18.26,128
2010-10-07 02:48:00,18.24,128
2010-10-07 02:53:00,18.68,128
2010-10-07 02:58:00,18.52,129
2010-10-07 03:03:00,18.66,129
2010-10-07 03:08:00,18.18,128
2010-10-07 03:13:00,18.04,127
2010-10-07 03:18:00,18,126
2010-10-07 03:23:00,17.92,125
2010-10-07 03:28:00,17.9,125
2010-10-07 03:33:00,17.96,125
2010-10-07 03:38:00,17.94,125
2010-10-07 03:43:00,17.82,124
2010-10-07 03:48:00,17.62,124
2010-10-07 03:53:00,16.96,121
2010-10-07 03:58:00,17.04,120
2010-10-07 04:03:00,17.36,120
2010-10-07 04:08:00,18.1,123
2010-10-07 04:13:00,17.92,124
2010-10-07 04:18:00,17.32,123
2010-10-07 04:23:00,17.64,122
2010-10-07 04:28:00,16.84,120
2010-10-07 04:33:00,15.82,115
2010-10-07 04:38:00,15.98,113
2010-10-07 04:43:00,16.64,114
2010-10-07 04:48:00,16.46,114
2010-10-07 04:53:00,16.58,115
2010-10-07 04:58:00,17,116
2010-10-07 05:03:00,16.32,115
2010-10-07 05:08:00,15.48,112
2010-10-07 05:13:00,16,111
2010-10-07 05:18:00,15.86,111
2010-10-07 05:23:00,15.46,109
2010-10-07 05:28:00,15.26,108
2010-10-07 05:33:00,15.18,107
2010-10-07 05:38:00,15.58,107
2010-10-07 05:43:00,16.38,110
2010-10-07 05:48:00,16.64,113
2010-10-07 05:53:00,16.54,114
2010-10-07 05:58:00,16.66,115
2010-10-07 06:03:00,16.52,115
2010-10-07 06:08:00,16.38,115
2010-10-07 06:13:00,16.18,114
2010-10-07 06:18:00,16.02,113
2010-10-07 06:23:00,16.32,113
2010-10-07 06:28:00,17.3,116
2010-10-07 06:33:00,17.4,119
2010-10-07 06:38:00,17.34,120
2010-10-07 06:43:00,17.38,121
2010-10-07 06:48:00,17.52,121
2010-10-07 06:53:00,17.66,122
2010-10-07 06:58:00,17.72,123
2010-10-07 07:03:00,17.98,124
2010-10-07 07:08:00,18.04,125
2010-10-07 07:13:00,18.2,126
2010-10-07 07:18:00,18.18,126
2010-10-07 07:23:00,18.1,126
2010-10-07 07:28:00,17.76,126
2010-10-07 07:33:00,17.96,126
2010-10-07 07:38:00,18.32,127
2010-10-07 07:43:00,17.92,127
2010-10-07 07:48:00,17.54,125
2010-10-07 07:53:00,17,122
2010-10-07 07:58:00,16.24,118
2010-10-07 08:03:00,15.84,115
2010-10-07 08:08:00,15.46,111
2010-10-07 08:13:00,16.22,112
2010-10-07 08:18:00,16.88,115
2010-10-07 08:23:00,16.8,117
2010-10-07 08:28:00,17.7,120
2010-10-07 08:33:00,18.12,124
2010-10-07 08:38:00,18.54,127
2010-10-07 08:43:00,19.34,131
2010-10-07 08:48:00,20.26,137
2010-10-07 08:53:00,21.12,143
2010-10-07 08:58:00,21.74,148
2010-10-07 09:03:00,22.46,153
2010-10-07 09:08:00,23.48,159
2010-10-07 09:13:00,24.56,166
2010-10-07 09:18:00,25.46,172
2010-10-07 09:23:00,26.02,178
2010-10-07 09:28:00,26.94,184
2010-10-07 09:33:00,28.4,191
2010-10-07 09:38:00,29.56,199
2010-10-07 09:43:00,30.2,206
2010-10-07 09:48:00,30.94,212
2010-10-07 09:53:00,31.5,217
2010-10-07 09:58:00,32.84,223
2010-10-07 10:03:00,33.46,229
2010-10-07 10:08:00,33.3,232
2010-10-07 10:13:00,33.36,233
2010-10-07 10:18:00,33.72,235
2010-10-07 10:23:00,34.1,237
2010-10-07 10:28:00,34.56,240
2010-10-07 10:33:00,34.52,241
2010-10-07 10:38:00,34.98,243
2010-10-07 10:43:00,35.42,246
2010-10-07 10:48:00,35.32,247
2010-10-07 10:53:00,34.74,246
2010-10-07 10:58:00,34.22,243
2010-10-07 11:03:00,33.6,240
2010-10-07 11:08:00,32.5,234
2010-10-07 11:13:00,32.02,229
2010-10-07 11:18:00,31.58,225
2010-10-07 11:23:00,31.04,221
2010-10-07 11:28:00,30.62,217
2010-10-07 11:33:00,30.72,216
2010-10-07 11:38:00,30.66,215
2010-10-07 11:43:00,30.92,215
2010-10-07 11:48:00,30.68,215
2010-10-07 11:53:00,29.66,212
2010-10-07 11:58:00,29.12,208
2010-10-07 12:03:00,28.3,203
2010-10-07 12:08:00,28,199
2010-10-07 12:13:00,27.54,196
2010-10-07 12:18:00,27.46,194
2010-10-07 12:23:00,26.64,190
2010-10-07 12:28:00,25.76,185
2010-10-07 12:33:00,25.06,180
2010-10-07 12:38:00,24.96,177
2010-10-07 12:43:00,23.66,163
2010-10-07 12:48:00,22.78,158
2010-10-07 12:53:00,21.88,152
2010-10-07 12:58:00,22.22,149
2010-10-07 13:03:00,23.84,153
2010-10-07 13:08:00,26.22,163
2010-10-07 13:13:00,27.62,174
2010-10-07 13:18:00,28.5,182
2010-10-07 13:23:00,28.86,188
2010-10-07 13:28:00,29.24,192
2010-10-07 13:33:00,29.78,195
2010-10-07 13:38:00,29.88,197
2010-10-07 13:43:00,30.68,201
2010-10-07 13:48:00,31.08,204
2010-10-07 13:53:00,30.7,205
2010-10-07 13:58:00,30.18,203
2010-10-07 14:03:00,29.22,199
2010-10-07 14:08:00,28.7,195
2010-10-07 14:13:00,27.5,189
2010-10-07 14:18:00,26.76,184
2010-10-07 14:23:00,25.34,176
2010-10-07 14:28:00,24.18,169
2010-10-07 14:33:00,23.28,162
2010-10-07 14:38:00,20.78,150
2010-10-07 14:43:00,18.74,138
2010-10-07 14:48:00,17.96,128
2010-10-07 14:53:00,16.74,119
2010-10-07 14:58:00,15.16,110
2010-10-07 15:03:00,13.48,100
2010-10-07 15:08:00,12.08,90
2010-10-07 15:13:00,10.76,80
2010-10-07 15:18:00,10,73
2010-10-07 15:23:00,9.54,68
2010-10-07 15:28:00,9.22,64
2010-10-07 15:33:00,9.3,63
2010-10-07 15:38:00,9.68,63
2010-10-07 15:43:00,10.36,66
2010-10-07 15:48:00,10.66,68
2010-10-07 15:53:00,10.78,70
2010-10-07 15:58:00,10.82,71
2010-10-07 16:03:00,10.84,72
2010-10-07 16:08:00,11.54,74
2010-10-07 16:13:00,13.04,80
2010-10-07 16:18:00,16.5,94
2010-10-07 16:23:00,21.08,116
