Country ,Continent,female literacy,fertility,population
Chine,ASI,90.5,1.769,1324655000.0
Inde,ASI,50.8,2.682,1139964931.64188
USA,NAM,99,2.077,304060000.0
Indonésie,ASI,88.8,2.132,227345082.0
Brésil,LAT,90.2,1.827,191971506.0
Pakistan,ASI,40,3.872,166111487.118278
Bangladesh,ASI,49.8,2.288,160000128.0
Nigéria,AF,48.8,5.173,151212254.0
Fédération de Russie,EUR,99.4,1.393,141950000.0
Japan,ASI,99,1.262,127704000.0
Mexique,LAT,91.5,2.156,106350433.683525
Philippines,ASI,93.9,3.026,90348437.0
Viet Nam,ASI,90.2,2.033,86210781.0
Germany,EUR,99,1.324,82110097.0
Egypte,AF,57.8,2.816,81527172.0
Ethiopie,AF,22.8,5.211,80713434.0
Turquie,ASI,81.3,2.1,73914260.0
"Iran, République islamique d'",ASI,77.2,1.781,71956321.6875886
Thaïlande,ASI,91.5,1.822,67386383.0
Rép. Démocratique du Congo,AF,56.1,5.908,64256635.0
France,EUR,99,1.881,62277432.0
UK,EUR,99,1.852,61414062.0
Italie,EUR,98.5,1.39,59832179.0
Myanmar,ASI,89.2,2.281,49563019.0
Afrique du Sud,AF,88.1,2.505,48687000.0
South Korea,ASI,96.6,1.224,48607000.0
Ukraine,EUR,99.6,1.361,46258200.0
Espagne,EUR,96.9,1.468,45555716.0
Colombie,LAT,93.4,2.404,45012096.0
République-Unie de Tanzanie,AF,66.3,5.52,42483923.0
Soudan,AF,59.6,4.058,41347723.0
Argentine,LAT,97.7,2.223,39882980.0
Kenya,AF,82.8,4.859,38765312.0
Pologne,EUR,99.3,1.267,38125759.0
Algérie,AF,63.9,2.342,34373426.0
Canada,NAM,99,1.579,33311400.0
Ouganda,AF,66.8,6.254,31656865.0
Maroc,AF,44.1,2.334,31605616.0
Iraq,ASI,69.2,3.961,30711152.2927428
Afghanistan,ASI,12.6,6.505,29021098.9974162
Pérou,LAT,84.6,2.53,28836700.0
Népal,ASI,45.4,2.823,28809526.0
Venezuela,LAT,94.9,2.498,27935000.0
Ouzbékistan,ASI,98.9,2.248,27313700.0
Malaisie,ASI,89.8,2.508,27014337.0
Arabie saoudite,ASI,80.2,3.04,24645685.9216375
Rép. populaire démocratique de Corée,ASI,100,1.854,23818753.0
Ghana,AF,59.3,4.22,23350927.0
Yémen,ASI,42.8,5.1,22917485.0
Mozambique,AF,40.1,4.967,22382533.0
Roumanie,EUR,96.9,1.325,21513622.0
Côte d'Ivoire,AF,44.3,4.514,20591302.0
République arabe syrienne,ASI,77.2,3.173,20581289.8697702
Sri Lanka,ASI,89.1,2.308,20156204.3380748
Madagascar,AF,65.3,4.62,19110941.0
