Name,Country,Medal,Time,Year,color
Usain Bolt,JAM,GOLD,9.63,2012,goldenrod
Yohan Blake,JAM,SILVER,9.75,2012,silver
Justin Gatlin,USA,BRONZE,9.79,2012,saddlebrown
Usain Bolt,JAM,GOLD,9.69,2008,goldenrod
Richard Thompson,TRI,SILVER,9.89,2008,silver
Walter Dix,USA,BRONZE,9.91,2008,saddlebrown
Justin Gatlin,USA,GOLD,9.85,2004,goldenrod
Francis Obikwelu,POR,SILVER,9.86,2004,silver
Maurice Greene,USA,BRONZE,9.87,2004,saddlebrown
Maurice Greene,USA,GOLD,9.87,2000,goldenrod
Ato Boldon,TRI,SILVER,9.99,2000,silver
Obadele Thompson,BAR,BRONZE,10.04,2000,saddlebrown
Donovan Bailey,CAN,GOLD,9.84,1996,goldenrod
Frankie Fredericks,NAM,SILVER,9.89,1996,silver
Ato Boldon,TRI,BRONZE,9.9,1996,saddlebrown
Linford Christie,GBR,GOLD,9.96,1992,goldenrod
Frankie Fredericks,NAM,SILVER,10.02,1992,silver
Dennis Mitchell,USA,BRONZE,10.04,1992,saddlebrown
Carl Lewis,USA,GOLD,9.92,1988,goldenrod
Linford Christie,GBR,SILVER,9.97,1988,silver
Calvin Smith,USA,BRONZE,9.99,1988,saddlebrown
Carl Lewis,USA,GOLD,9.99,1984,goldenrod
Sam Graddy,USA,SILVER,10.19,1984,silver
Ben Johnson,CAN,BRONZE,10.22,1984,saddlebrown
Allan Wells,GBR,GOLD,10.25,1980,goldenrod
Silvio Leonard Tartabull,CUB,SILVER,10.25,1980,silver
Petar Petrov,BUL,BRONZE,10.39,1980,saddlebrown
Hasely Crawford,TRI,GOLD,10.06,1976,goldenrod
Donald Quarrie,JAM,SILVER,10.08,1976,silver
Valery Borzov,URS,BRONZE,10.14,1976,saddlebrown
Valery Borzov,URS,GOLD,10.14,1972,goldenrod
Robert Taylor,USA,SILVER,10.24,1972,silver
Lennox Miller,JAM,BRONZE,10.33,1972,saddlebrown
Jim Hines,USA,GOLD,9.95,1968,goldenrod
Lennox Miller,JAM,SILVER,10.04,1968,silver
Charles Greene,USA,BRONZE,10.07,1968,saddlebrown
Bob Hayes,USA,GOLD,10.0,1964,goldenrod
Enrique Figuerola Camue,CUB,SILVER,10.2,1964,silver
Harry Jerome,CAN,BRONZE,10.2,1964,saddlebrown
Armin Hary,EUA,GOLD,10.2,1960,goldenrod
David Sime,USA,SILVER,10.2,1960,silver
Peter Radford,GBR,BRONZE,10.3,1960,saddlebrown
Bobby Joe Morrow,USA,GOLD,10.5,1956,goldenrod
W. Thane Baker,USA,SILVER,10.5,1956,silver
Hector Hogan,AUS,BRONZE,10.6,1956,saddlebrown
Lindy Remigino,USA,GOLD,10.4,1952,goldenrod
Herbert McKenley,JAM,SILVER,10.4,1952,silver
E. McDonald Bailey,GBR,BRONZE,10.4,1952,saddlebrown
W. Harrison Dillard,USA,GOLD,10.3,1948,goldenrod
"H. Norwood ""Barney"" Ewell",USA,SILVER,10.4,1948,silver
Lloyd LaBeach,PAN,BRONZE,10.4,1948,saddlebrown
Jesse Owens,USA,GOLD,10.3,1936,goldenrod
Ralph Metcalfe,USA,SILVER,10.4,1936,silver
Martinus Osendarp,NED,BRONZE,10.5,1936,saddlebrown
"T. ""Eddie"" Tolan",USA,GOLD,10.3,1932,goldenrod
Ralph Metcalfe,USA,SILVER,10.3,1932,silver
Arthur Jonath,GER,BRONZE,10.4,1932,saddlebrown
Percy Williams,CAN,GOLD,10.8,1928,goldenrod
"John ""Jack"" London",GBR,SILVER,10.9,1928,silver
Georg Lammers,GER,BRONZE,10.9,1928,saddlebrown
Harold Abrahams,GBR,GOLD,10.6,1924,goldenrod
Jackson Scholz,USA,SILVER,10.8,1924,silver
Arthur Porritt,NZL,BRONZE,10.9,1924,saddlebrown
Charles Paddock,USA,GOLD,10.8,1920,goldenrod
Morris Kirksey,USA,SILVER,10.9,1920,silver
Harry Edward,GBR,BRONZE,10.9,1920,saddlebrown
Ralph Craig,USA,GOLD,10.8,1912,goldenrod
Alvah Meyer,USA,SILVER,10.9,1912,silver
Donald Lippincott,USA,BRONZE,10.9,1912,saddlebrown
Reginald Walker,RSA,GOLD,10.8,1908,goldenrod
James Rector,USA,SILVER,11.0,1908,silver
Robert Kerr,CAN,BRONZE,11.0,1908,saddlebrown
"Charles ""Archie"" Hahn",USA,GOLD,11.2,1906,goldenrod
Fay Moulton,USA,SILVER,11.3,1906,silver
Nigel Barker,AUS,BRONZE,11.3,1906,saddlebrown
"Charles ""Archie"" Hahn",USA,GOLD,11.0,1904,goldenrod
Nathaniel Cartmell,USA,SILVER,11.2,1904,silver
Bill Hogenson,USA,BRONZE,11.2,1904,saddlebrown
Frank Jarvis,USA,GOLD,11.0,1900,goldenrod
J. Walter Tewksbury,USA,SILVER,11.1,1900,silver
Stanley Rowley,AUS,BRONZE,11.2,1900,saddlebrown
Thomas Burke,USA,GOLD,12.0,1896,goldenrod
Fritz Hofmann,GER,SILVER,12.2,1896,silver
Alojz Sokol,HUN,BRONZE,12.6,1896,saddlebrown
Francis Lane,USA,BRONZE,12.6,1896,saddlebrown
