"Name","Team","Position","Height","Weight","Age","PosCategory"
"Adam_Donachie","BAL","Catcher",74,180,22.99,"Catcher"
"Paul_Bako","BAL","Catcher",74,215,34.69,"Catcher"
"Ramon_Hernandez","BAL","Catcher",72,210,30.78,"Catcher"
"Kevin_Millar","BAL","First_Baseman",72,210,35.43,"Infielder"
"Chris_Gomez","BAL","First_Baseman",73,188,35.71,"Infielder"
"Brian_Roberts","BAL","Second_Baseman",69,176,29.39,"Infielder"
"Miguel_Tejada","BAL","Shortstop",69,209,30.77,"Infielder"
"Melvin_Mora","BAL","Third_Baseman",71,200,35.07,"Infielder"
"Aubrey_Huff","BAL","Third_Baseman",76,231,30.19,"Infielder"
"Adam_Stern","BAL","Outfielder",71,180,27.05,"Outfielder"
"Jeff_Fiorentino","BAL","Outfielder",73,188,23.88,"Outfielder"
"Freddie_Bynum","BAL","Outfielder",73,180,26.96,"Outfielder"
"Nick_Markakis","BAL","Outfielder",74,185,23.29,"Outfielder"
"Brandon_Fahey","BAL","Outfielder",74,160,26.11,"Outfielder"
"Corey_Patterson","BAL","Outfielder",69,180,27.55,"Outfielder"
"Jay_Payton","BAL","Outfielder",70,185,34.27,"Outfielder"
"Erik_Bedard","BAL","Starting_Pitcher",73,189,27.99,"Pitcher"
"Hayden_Penn","BAL","Starting_Pitcher",75,185,22.38,"Pitcher"
"Adam_Loewen","BAL","Starting_Pitcher",78,219,22.89,"Pitcher"
"Daniel_Cabrera","BAL","Starting_Pitcher",79,230,25.76,"Pitcher"
"Steve_Trachsel","BAL","Starting_Pitcher",76,205,36.33,"Pitcher"
"Jaret_Wright","BAL","Starting_Pitcher",74,230,31.17,"Pitcher"
"Kris_Benson","BAL","Starting_Pitcher",76,195,32.31,"Pitcher"
"Scott_Williamson","BAL","Relief_Pitcher",72,180,31.03,"Pitcher"
"John_Parrish","BAL","Relief_Pitcher",71,192,29.26,"Pitcher"
"Danys_Baez","BAL","Relief_Pitcher",75,225,29.47,"Pitcher"
"Chad_Bradford","BAL","Relief_Pitcher",77,203,32.46,"Pitcher"
"Jamie_Walker","BAL","Relief_Pitcher",74,195,35.67,"Pitcher"
"Brian_Burres","BAL","Relief_Pitcher",73,182,25.89,"Pitcher"
"Kurt_Birkins","BAL","Relief_Pitcher",74,188,26.55,"Pitcher"
"James_Hoey","BAL","Relief_Pitcher",78,200,24.17,"Pitcher"
"Sendy_Rleal","BAL","Relief_Pitcher",73,180,26.69,"Pitcher"
"Chris_Ray","BAL","Relief_Pitcher",75,200,25.13,"Pitcher"
"Jeremy_Guthrie","BAL","Relief_Pitcher",73,200,27.9,"Pitcher"
"A.J._Pierzynski","CWS","Catcher",75,245,30.17,"Catcher"
"Toby_Hall","CWS","Catcher",75,240,31.36,"Catcher"
"Paul_Konerko","CWS","First_Baseman",74,215,30.99,"Infielder"
"Tadahito_Iguchi","CWS","Second_Baseman",69,185,32.24,"Infielder"
"Juan_Uribe","CWS","Shortstop",71,175,27.61,"Infielder"
"Alex_Cintron","CWS","Shortstop",74,199,28.2,"Infielder"
"Joe_Crede","CWS","Third_Baseman",73,200,28.85,"Infielder"
"Josh_Fields","CWS","Third_Baseman",73,215,24.21,"Infielder"
"Ryan_Sweeney","CWS","Outfielder",76,200,22.02,"Outfielder"
"Brian_N._Anderson","CWS","Outfielder",74,205,24.97,"Outfielder"
"Luis_Terrero","CWS","Outfielder",74,206,26.78,"Outfielder"
"Pablo_Ozuna","CWS","Outfielder",70,186,32.51,"Outfielder"
"Scott_Podsednik","CWS","Outfielder",72,188,30.95,"Outfielder"
"Jermaine_Dye","CWS","Outfielder",77,220,33.09,"Outfielder"
"Darin_Erstad","CWS","Outfielder",74,210,32.74,"Outfielder"
"Rob_Mackowiak","CWS","Outfielder",70,195,30.69,"Outfielder"
"Charlie_Haeger","CWS","Starting_Pitcher",73,200,23.45,"Pitcher"
"Heath_Phillips","CWS","Starting_Pitcher",75,200,24.94,"Pitcher"
"Gavin_Floyd","CWS","Starting_Pitcher",76,212,24.09,"Pitcher"
"Jose_Contreras","CWS","Starting_Pitcher",76,224,35.23,"Pitcher"
"Jon_Garland","CWS","Starting_Pitcher",78,210,27.43,"Pitcher"
"Javier_Vazquez","CWS","Starting_Pitcher",74,205,30.6,"Pitcher"
"Mark_Buehrle","CWS","Starting_Pitcher",74,220,27.94,"Pitcher"
"Mike_MacDougal","CWS","Relief_Pitcher",76,195,29.99,"Pitcher"
"David_Aardsma","CWS","Relief_Pitcher",77,200,25.17,"Pitcher"
"Andrew_Sisco","CWS","Relief_Pitcher",81,260,24.13,"Pitcher"
"Matt_Thornton","CWS","Relief_Pitcher",78,228,30.46,"Pitcher"
"Bobby_Jenks","CWS","Relief_Pitcher",75,270,25.96,"Pitcher"
"Boone_Logan","CWS","Relief_Pitcher",77,200,22.55,"Pitcher"
"Sean_Tracey","CWS","Relief_Pitcher",75,210,26.29,"Pitcher"
"Nick_Masset","CWS","Relief_Pitcher",76,190,24.79,"Pitcher"
"Jose_Molina","ANA","Catcher",74,220,31.74,"Catcher"
"Jeff_Mathis","ANA","Catcher",72,180,23.92,"Catcher"
"Mike_Napoli","ANA","Catcher",72,205,25.33,"Catcher"
"Casey_Kotchman","ANA","First_Baseman",75,210,24.02,"Infielder"
"Kendry_Morales","ANA","First_Baseman",73,220,23.7,"Infielder"
"Shea_Hillenbrand","ANA","First_Baseman",73,211,31.59,"Infielder"
"Robb_Quinlan","ANA","First_Baseman",73,200,29.95,"Infielder"
"Howie_Kendrick","ANA","First_Baseman",70,180,23.64,"Infielder"
"Orlando_Cabrera","ANA","Shortstop",70,190,32.33,"Infielder"
"Erick_Aybar","ANA","Shortstop",70,170,23.13,"Infielder"
"Dallas_McPherson","ANA","Third_Baseman",76,230,26.6,"Infielder"
"Maicer_Izturis","ANA","Third_Baseman",68,155,26.46,"Infielder"
"Reggie_Willits","ANA","Outfielder",71,185,25.75,"Outfielder"
"Tommy_Murphy","ANA","Outfielder",72,185,27.51,"Outfielder"
"Terry_Evans","ANA","Outfielder",75,200,25.11,"Outfielder"
"Gary_Matthews_Jr.","ANA","Outfielder",75,225,32.51,"Outfielder"
"Garret_Anderson","ANA","Outfielder",75,225,34.67,"Outfielder"
"Vladimir_Guerrero","ANA","Outfielder",75,220,31.06,"Outfielder"
"Chone_Figgins","ANA","Outfielder",68,160,29.1,"Outfielder"
"Juan_Rivera","ANA","Outfielder",74,205,28.66,"Outfielder"
"John_Lackey","ANA","Starting_Pitcher",78,235,28.35,"Pitcher"
"Bartolo_Colon","ANA","Starting_Pitcher",71,250,33.77,"Pitcher"
"Kelvim_Escobar","ANA","Starting_Pitcher",73,210,30.89,"Pitcher"
"Dustin_Moseley","ANA","Starting_Pitcher",76,190,37.74,"Pitcher"
"Ervin_Santana","ANA","Starting_Pitcher",74,160,24.14,"Pitcher"
"Joe_Saunders","ANA","Starting_Pitcher",74,200,25.71,"Pitcher"
"Jered_Weaver","ANA","Starting_Pitcher",79,205,24.41,"Pitcher"
"Chris_Resop","ANA","Relief_Pitcher",75,222,24.32,"Pitcher"
"Phil_Seibel","ANA","Relief_Pitcher",73,195,28.09,"Pitcher"
"Justin_Speier","ANA","Relief_Pitcher",76,205,33.31,"Pitcher"
"Darren_Oliver","ANA","Relief_Pitcher",74,220,36.4,"Pitcher"
"Hector_Carrasco","ANA","Relief_Pitcher",74,220,37.36,"Pitcher"
"Scot_Shields","ANA","Relief_Pitcher",73,170,31.61,"Pitcher"
"Francisco_Rodriguez","ANA","Relief_Pitcher",72,185,25.14,"Pitcher"
"Greg_Jones","ANA","Relief_Pitcher",74,195,30.29,"Pitcher"
"Doug_Mirabelli","BOS","Catcher",73,220,36.37,"Catcher"
"Jason_Varitek","BOS","Catcher",74,230,34.89,"Catcher"
