id, name, rating, position, height, foot, rare, pace, shooting, passing, dribbling, defending, heading, diving, handling, kicking, reflexes, speed, positioning
1001, Gábor Király, 69, GK, 191, Right, 0, , , , , , , 70, 66, 63, 74, 35, 66
100143, Frederik Boi, 65, M, 184, Right, 0, 61, 65, 63, 59, 62, 62, , , , , ,
100264, Tomasz Szewczuk, 57, A, 185, Right, 0, 65, 54, 43, 53, 55, 74, , , , , ,
100325, Steeve Joseph-Reinette, 63, D, 180, Left, 0, 68, 38, 51, 46, 64, 71, , , , , ,
100326, Kamel Chafni, 72, M, 181, Right, 0, 75, 64, 67, 72, 57, 66, , , , , ,
100329, Abdoulaye Faye, 72, D, 187, Right, 1, 50, 37, 47, 43, 76, 82, , , , , ,
100330, José Saez, 67, M, 170, Right, 0, 53, 60, 65, 61, 64, 60, , , , , ,
100391, Laurent Delorge, 67, M, 179, Right, 0, 76, 58, 67, 64, 63, 56, , , , , ,
100521, David Noble, 64, M, 183, Right, 1, 62, 52, 66, 65, 56, 53, , , , , ,
100522, Dominic Foley, 62, A, 186, Left, 1, 34, 65, 55, 55, 56, 77, , , , , ,
100557, Brian Barry-Murphy, 60, M, 185, Left, 0, 61, 54, 60, 47, 60, 48, , , , , ,
100559, Paul McKenna, 68, M, 170, Right, 0, 53, 65, 68, 63, 70, 69, , , , , ,
100574, Paweł Abbott, 59, A, 187, Right, 0, 51, 60, 49, 51, 54, 64, , , , , ,
100578, Richard Cresswell, 66, A, 183, Right, 1, 56, 63, 53, 49, 62, 72, , , , , ,
100580, David Healy, 69, A, 173, Right, 0, 64, 72, 51, 60, 48, 69, , , , , ,
100585, Dickson Etuhu, 75, M, 188, Right, 1, 59, 55, 64, 63, 80, 72, , , , , ,
100670, Ashley Westwood, 54, D, 183, Right, 0, 47, 26, 39, 40, 62, 57, , , , , ,
100701, Paul Ifill, 70, A, 180, Right, 0, 72, 65, 59, 78, 54, 52, , , , , ,
100707, David Artell, 59, D, 188, Right, 0, 48, 27, 38, 36, 65, 68, , , , , ,
100743, Martin Rowlands, 64, M, 175, Right, 1, 52, 60, 66, 66, 63, 59, , , , , ,
100745, Paul Smith, 64, GK, 193, Right, 1, , , , , , , 65, 62, 55, 67, 41, 62
100751, Kevin O'Connor, 59, D, 180, Right, 0, 53, 48, 60, 53, 62, 55, , , , , ,
100756, Stephen Hunt, 56, D, 185, Left, 0, 67, 32, 46, 46, 59, 63, , , , , ,
100758, Jay Tabb, 63, M, 170, Left, 1, 69, 58, 66, 65, 59, 66, , , , , ,
100792, Brynjar Gunnarsson, 61, M, 183, Right, 0, 34, 54, 61, 65, 68, 66, , , , , ,
100798, James O'Connor, 63, M, 173, Right, 0, 61, 53, 61, 60, 68, 70, , , , , ,
100803, Karl Henry, 71, M, 185, Right, 0, 55, 57, 71, 71, 73, 64, , , , , ,
100804, Gareth Owen, 62, D, 185, Left, 0, 61, 19, 48, 46, 65, 67, , , , , ,
100806, Kris Commons, 75, M, 168, Left, 0, 79, 74, 73, 80, 48, 60, , , , , ,
100807, Stefanos Kotsolis, 65, GK, 190, Right, 0, , , , , , , 62, 68, 62, 65, 60, 64
100889, Louis Carey, 67, D, 178, Right, 0, 45, 31, 45, 38, 69, 78, , , , , ,
100899, Steve Phillips, 61, GK, 185, Right, 1, , , , , , , 46, 65, 76, 71, 31, 61
100907, Danny Coles, 62, D, 185, Right, 0, 70, 32, 33, 35, 66, 67, , , , , ,
100932, Sotirios Kyrgiakos, 76, D, 193, Right, 1, 41, 42, 46, 38, 80, 80, , , , , ,
100954, Monsef Zerka, 63, M, 183, Right, 0, 69, 60, 59, 64, 53, 63, , , , , ,
100964, Romain Poyet, 72, A, 184, Right, 1, 68, 70, 70, 73, 56, 74, , , , , ,
100987, David Hellebuyck, 72, M, 178, Left, 1, 60, 79, 74, 73, 62, 69, , , , , ,
101160, Nicoló Consolini, 63, D, 180, Right, 0, 71, 47, 60, 57, 63, 58, , , , , ,
101225, Neca, 73, M, 177, Right, 1, 64, 70, 72, 74, 57, 63, , , , , ,
101282, Oka Nikolov, 70, GK, 188, Right, 0, , , , , , , 72, 64, 59, 73, 61, 73
101286, Rolf-Christel Guié-Mien, 64, M, 177, Right, 1, 65, 52, 58, 71, 45, 55, , , , , ,
101317, Michael Ratajczak, 65, GK, 187, Right, 0, , , , , , , 62, 63, 59, 69, 55, 66
10133, Ivan Klasnić, 75, A, 186, Left, 0, 60, 75, 58, 72, 56, 74, , , , , ,
101336, Clemens Fritz, 74, D, 183, Right, 1, 79, 62, 73, 73, 72, 71, , , , , ,
101344, Otto Fredrikson, 70, GK, 189, Right, 0, , , , , , , 69, 71, 66, 70, 50, 75
101378, Cacau, 78, A, 179, Right, 0, 79, 77, 62, 80, 54, 77, , , , , ,
101411, Sascha Kirschstein, 66, GK, 196, Right, 0, , , , , , , 67, 64, 62, 70, 41, 64
101473, Tomasz Kuszczak, 75, GK, 190, Right, 0, , , , , , , 78, 72, 62, 81, 50, 73
101482, Timo Ochs, 67, GK, 189, Right, 0, , , , , , , 69, 66, 54, 72, 49, 64
101488, Daniel Haas, 71, GK, 188, Right, 1, , , , , , , 72, 71, 66, 76, 45, 68
101490, Conor Casey, 70, A, 188, Right, 1, 57, 66, 38, 67, 63, 86, , , , , ,
101496, Mathias Abel, 69, D, 188, Right, 0, 54, 40, 54, 48, 73, 73, , , , , ,
101590, Giuseppe Greco, 65, A, 182, Left, 0, 72, 62, 49, 61, 55, 63, , , , , ,
101652, Peter Schyrba, 61, D, 185, Right, 0, 65, 45, 52, 53, 67, 65, , , , , ,
101658, Carsten Rothenbach, 68, D, 184, Right, 0, 67, 54, 68, 61, 70, 70, , , , , ,
101689, Antônio da Silva, 73, M, 178, Left, 1, 48, 70, 78, 75, 58, 53, , , , , ,
101749, Jens Langeneke, 69, D, 185, Right, 0, 51, 41, 51, 41, 73, 60, , , , , ,
101803, Goran Šukalo, 67, M, 193, Right, 0, 56, 60, 64, 59, 73, 74, , , , , ,
10183, David McCracken, 60, D, 188, Left, 0, 55, 32, 49, 44, 65, 54, , , , , ,
101868, Andreas Görlitz, 67, D, 179, Right, 0, 68, 58, 66, 68, 67, 64, , , , , ,
101875, Markus Miller, 71, GK, 189, Right, 0, , , , , , , 74, 67, 60, 74, 45, 72
101880, Robert Green, 78, GK, 188, Right, 0, , , , , , , 81, 73, 78, 84, 50, 74
101882, Adam Drury, 65, D, 180, Left, 0, 53, 35, 60, 65, 69, 65, , , , , ,
101891, Darel Russell, 63, M, 178, Right, 0, 61, 50, 61, 62, 64, 63, , , , , ,
101934, Dexter Langen, 61, M, 186, Right, 0, 69, 53, 58, 62, 65, 56, , , , , ,
101997, David Lucas, 61, GK, 188, Left, 0, , , , , , , 57, 60, 64, 66, 54, 60
101999, Graham Alexander, 64, M, 180, Right, 1, 58, 62, 65, 57, 67, 68, , , , , ,
102001, Rob Edwards, 65, D, 185, Right, 0, 65, 34, 42, 27, 70, 70, , , , , ,
102021, Filip Trojan, 68, M, 172, Left, 0, 74, 61, 63, 71, 58, 67, , , , , ,
102056, Simone Padoin, 73, M, 179, Right, 1, 79, 65, 73, 71, 64, 61, , , , , ,
102064, Claudio Terzi, 68, D, 180, Right, 0, 60, 46, 50, 47, 68, 69, , , , , ,
102081, Marco Pisano, 63, D, 174, Left, 0, 65, 47, 58, 53, 64, 65, , , , , ,
102084, Luca Belingheri, 67, M, 183, Right, 0, 73, 60, 66, 66, 62, 61, , , , , ,
102088, Stefano Morrone, 74, M, 178, Right, 0, 61, 61, 71, 71, 72, 60, , , , , ,
102129, Petri Pasanen, 73, D, 187, Right, 1, 57, 58, 61, 45, 74, 76, , , , , ,
102133, Stefan Leitl, 68, A, 178, Right, 0, 70, 68, 64, 69, 57, 57, , , , , ,
102293, Ranisav Jovanović, 60, A, 193, Left, 1, 69, 59, 48, 56, 54, 59, , , , , ,
102356, Markus Feulner, 73, M, 181, Right, 1, 68, 67, 74, 72, 67, 69, , , , , ,
102359, Zvjezdan Misimović, 81, M, 180, Right, 1, 62, 78, 82, 80, 51, 59, , , , , ,
102362, Ivica Grlić, 64, M, 187, Right, 1, 44, 70, 69, 68, 57, 45, , , , , ,
102409, Florian Heller, 67, A, 179, Right, 0, 68, 63, 69, 73, 66, 69, , , , , ,
102587, Matt Hill, 61, D, 173, Left, 0, 54, 34, 49, 43, 66, 61, , , , , ,
102593, Craig Woodman, 62, D, 175, Left, 0, 57, 28, 54, 42, 61, 59, , , , , ,
10264, Ruud van Nistelrooy, 80, A, 188, Right, 0, 55, 78, 64, 73, 59, 70, , , , , ,
103133, Seol Ki Hyeon, 69, A, 187, Right, 1, 81, 67, 64, 74, 58, 69, , , , , ,
103307, John Oster, 67, M, 175, Right, 0, 72, 57, 68, 69, 63, 60, , , , , ,
103496, Andrea Cossu, 80, M, 171, Right, 1, 80, 69, 81, 84, 50, 47, , , , , ,
103578, Marcin Malinowski, 57, M, 179, Right, 0, 53, 57, 43, 45, 63, 58, , , , , ,
103581, Alan Dunne, 63, D, 180, Right, 0, 69, 52, 61, 58, 66, 58, , , , , ,
103582, Mark Phillips, 58, D, 188, Right, 0, 56, 33, 40, 43, 63, 69, , , , , ,
103585, Ben May, 56, A, 185, Left, 0, 43, 56, 40, 46, 45, 64, , , , , ,
103591, Gerald Sibon, 66, A, 196, Right, 1, 28, 70, 65, 54, 59, 57, , , , , ,
103735, Nicolas Timmermans, 59, D, 183, Right, 0, 66, 49, 55, 55, 62, 64, , , , , ,
103933, Jürgen Säumel, 70, M, 184, Left, 0, 73, 59, 69, 65, 72, 67, , , , , ,
103935, Alberto Aquilani, 81, M, 186, Right, 1, 65, 75, 84, 81, 67, 62, , , , , ,
103936, Simone Pepe, 78, M, 178, Right, 0, 84, 75, 76, 76, 66, 64, , , , , ,
103996, Mahamet Diagouraga, 65, D, 188, Right, 0, 71, 43, 42, 35, 73, 67, , , , , ,
1040, Roberto Carlos, 79, M, 168, Left, 1, 78, 75, 80, 76, 80, 70, , , , , ,
104047, Sergio Bernardo Almirón, 75, M, 176, Right, 0, 50, 71, 79, 66, 68, 56, , , , , ,
104088, Philipp Bönig, 67, D, 178, Left, 0, 68, 48, 64, 57, 68, 68, , , , , ,
1041, Javier Zanetti, 82, M, 178, Right, 1, 63, 59, 80, 79, 80, 57, , , , , ,
104100, Marius Ebbers, 68, A, 192, Right, 0, 59, 65, 53, 62, 61, 74, , , , , ,
104101, Benjamin Köhler, 71, M, 172, Left, 0, 76, 65, 67, 74, 53, 75, , , , , ,
104296, Liam Miller, 66, M, 170, Right, 0, 59, 60, 67, 69, 55, 59, , , , , ,
104389, Rune Almenning Jarstein, 68, GK, 190, Right, 0, , , , , , , 74, 62, 75, 77, 40, 62
104442, Chris Burke, 73, M, 175, Right, 1, 80, 68, 70, 76, 53, 52, , , , , ,
104472, Trond Erik Bertelsen, 64, D, 174, Left, 1, 75, 57, 62, 60, 66, 65, , , , , ,
104476, Christian Grindheim, 73, M, 179, Right, 0, 70, 69, 71, 68, 68, 68, , , , , ,
1046, Jérôme Rothen, 72, M, 177, Left, 1, 58, 70, 75, 71, 54, 44, , , , , ,
10468, Benjamin Kibebe, 61, D, 187, Right, 0, 57, 43, 47, 46, 68, 72, , , , , ,
104702, Daniel Braaten, 73, M, 184, Right, 1, 80, 70, 69, 80, 66, 62, , , , , ,
104732, David Prutton, 64, M, 185, Right, 1, 55, 65, 65, 53, 63, 60, , , , , ,
104733, Jack Lester, 64, A, 175, Right, 0, 56, 62, 36, 58, 50, 71, , , , , ,
104737, Barry Roche, 62, GK, 193, Right, 0, , , , , , , 61, 64, 57, 65, 60, 60
10475, Frédéric Page, 57, D, 185, Right, 0, 50, 49, 54, 51, 60, 57, , , , , ,
