mpg,cyl,displ,hp,weight,accel,yr,origin,name,color,size,marker
18.0,6,250.0,88,3139,14.5,71,US,ford mustang,red,27.370336111111108,o
9.0,8,304.0,193,4732,18.5,70,US,hi 1200d,green,62.199511111111114,o
36.1,4,91.0,60,1800,16.4,78,Asia,honda civic cvcc,blue,9.0,x
18.5,6,250.0,98,3525,19.0,77,US,ford granada,red,34.515625,o
34.3,4,97.0,78,2188,15.8,80,Europe,audi 4000,blue,13.298177777777777,s
32.9,4,119.0,100,2615,14.8,81,Asia,datsun 200sx,blue,18.995069444444447,x
32.2,4,108.0,75,2265,15.2,80,Asia,toyota corolla,blue,14.250625,x
22.0,4,121.0,76,2511,18.0,72,Europe,volkswagen 411 (sw),blue,17.514224999999996,s
15.0,8,302.0,130,4295,14.9,77,US,mercury cougar brougham,green,51.24173611111111,o
17.0,8,302.0,140,3449,10.5,70,US,ford torino,green,33.04333611111111,o
44.0,4,97.0,52,2130,24.6,82,Europe,vw pickup,blue,12.6025,s
24.5,4,151.0,88,2740,16.0,77,US,pontiac sunbird coupe,blue,20.854444444444443,o
32.0,4,135.0,84,2295,11.6,82,US,dodge rampage,blue,14.630625000000002,o
14.0,8,351.0,148,4657,13.5,75,US,ford ltd,green,60.24346944444444,o
15.0,8,400.0,150,3761,9.5,70,US,chevrolet monte carlo,green,39.29200277777778,o
13.0,8,307.0,130,4098,14.0,72,US,chevrolet chevelle concours (sw),green,46.6489,o
36.0,4,79.0,58,1825,18.6,77,Europe,renault 5 gtl,blue,9.25173611111111,s
31.0,4,119.0,82,2720,19.4,82,US,chevy s-10,blue,20.55111111111111,o
32.0,4,71.0,65,1836,21.0,74,Asia,toyota corolla 1200,blue,9.3636,x
21.5,3,80.0,110,2720,13.5,77,Asia,mazda rx-4,black,20.55111111111111,x
19.0,6,225.0,95,3264,16.0,75,US,plymouth valiant custom,red,29.593600000000006,o
17.0,6,231.0,110,3907,21.0,75,US,buick century,red,42.40180277777778,o
16.0,8,302.0,140,4141,14.0,74,US,ford gran torino,green,47.633002777777776,o
15.0,8,383.0,170,3563,10.0,70,US,dodge challenger se,green,35.26380277777778,o
23.0,4,140.0,78,2592,18.5,75,US,pontiac astro,blue,18.6624,o
26.0,4,98.0,90,2265,15.5,73,Europe,fiat 124 sport coupe,blue,14.250625,s
32.0,4,144.0,96,2665,13.9,82,Asia,toyota celica gt,blue,19.728402777777777,x
24.0,4,113.0,95,2372,15.0,70,Asia,toyota corona mark ii,blue,15.628844444444443,x
21.0,6,231.0,110,3039,15.0,75,US,buick skyhawk,red,25.654225000000004,o
31.3,4,120.0,75,2542,17.5,80,Asia,mazda 626,blue,17.949344444444442,x
32.7,6,168.0,132,2910,11.4,80,Asia,datsun 280-zx,red,23.522499999999997,x
15.0,8,304.0,150,3892,12.5,72,US,amc matador (sw),green,42.07684444444444,o
23.0,4,140.0,83,2639,17.0,75,US,ford pinto,blue,19.345336111111113,o
17.6,6,225.0,85,3465,16.6,81,US,chrysler lebaron salon,red,33.350625,o
28.0,4,107.0,86,2464,15.5,76,Europe,fiat 131,blue,16.86471111111111,s
24.0,4,116.0,75,2158,15.5,73,Europe,opel manta,blue,12.936011111111112,s
14.0,8,302.0,140,4638,16.0,74,US,ford gran torino (sw),green,59.752900000000004,o
18.1,8,302.0,139,3205,11.2,78,US,ford futura,green,28.53340277777778,o
36.0,4,98.0,70,2125,17.3,82,US,mercury lynx l,blue,12.543402777777777,o
29.0,4,85.0,52,2035,22.2,76,US,chevrolet chevette,blue,11.503402777777778,o
35.1,4,81.0,60,1760,16.1,81,Asia,honda civic 1300,blue,8.604444444444443,x
36.0,4,135.0,84,2370,13.0,82,US,dodge charger 2.2,blue,15.602500000000001,o
16.5,8,351.0,138,3955,13.2,79,US,mercury grand marquis,green,43.450069444444445,o
16.0,8,400.0,180,4220,11.1,77,US,pontiac grand prix lj,green,49.467777777777776,o
29.9,4,98.0,65,2380,20.7,81,US,ford escort 2h,blue,15.734444444444446,o
31.0,4,79.0,67,1950,19.0,74,Asia,datsun b210,blue,10.5625,x
27.2,4,119.0,97,2300,14.7,78,Asia,datsun 510,blue,14.694444444444446,x
14.0,8,318.0,150,4457,13.5,74,US,dodge coronet custom (sw),green,55.18013611111112,o
32.1,4,98.0,70,2120,15.5,80,US,chevrolet chevette,blue,12.484444444444444,o
