county,state,total,Obama,Romney,winner,voters,turnout,margin
Adams,PA,41973,35.48233388130465,63.11200057179616,Romney,61156,68.63267708810255,27.62966669049151
Allegheny,PA,614671,56.64021891385799,42.1858197312058,Obama,924351,66.49757505536317,14.454399182652203
Armstrong,PA,28322,30.69698467622344,67.90127815832216,Romney,42147,67.19813984387976,37.20429348209871
Beaver,PA,80015,46.032618883959245,52.637630444291716,Romney,115157,69.48340092221923,6.605011560332475
Bedford,PA,21444,22.057451967916432,76.9865696698377,Romney,32189,66.61903134611202,54.92911770192127
Berks,PA,163253,48.939376305489034,49.52864572167129,Romney,250356,65.20834331911358,0.5892694161822537
Blair,PA,47631,32.575423568684265,66.13340051647036,Romney,85328,55.82106694168385,33.5579769477861
Bradford,PA,22501,36.84725123327852,61.450602195457975,Romney,40490,55.571746110150656,24.60335096217945
Bucks,PA,319407,49.96697004135789,48.80168562367137,Obama,435606,73.32474759300837,1.1652844176865254
Butler,PA,88924,31.92051639602357,66.81660744006118,Romney,122762,72.4360958602825,34.896091044037604
Cambria,PA,57718,40.16251429363457,57.97844693163311,Romney,86988,66.35168069158965,17.81593263799854
Cameron,PA,1967,34.4178952719878,64.26029486527707,Romney,3651,53.87565050671049,29.842399593289276
Carbon,PA,24232,45.55959062396831,52.45130406074612,Romney,39017,62.10626137324756,6.891713436777806
Centre,PA,68801,48.94841644743536,48.97748579235768,Romney,112949,60.91333256602537,0.029069344922322753
Chester,PA,248295,49.228538633480326,49.650617209367894,Romney,337822,73.49876562213237,0.42207857588756487
Clarion,PA,15227,31.06981020555592,67.17015827149143,Romney,24120,63.1301824212272,36.10034806593551
Clearfield,PA,31894,34.78083652097573,63.65774126795011,Romney,51174,62.324617970062924,28.876904746974375
Clinton,PA,12663,43.45731659164496,54.81323541025034,Romney,22969,55.13082850798903,11.355918818605373
Columbia,PA,24305,42.888294589590615,55.3178358362477,Romney,39888,60.933112715603684,12.429541246657088
Crawford,PA,33089,39.360512557043116,58.92290489286472,Romney,54711,60.479611047138604,19.562392335821606
Cumberland,PA,109964,39.9976355898294,58.53279255028918,Romney,158194,69.51211803228946,18.53515696045978
Dauphin,PA,122625,52.36207951070336,46.35107033639144,Obama,178924,68.5346851177036,6.011009174311926
Delaware,PA,272853,60.40065529790767,38.58121406031819,Obama,397338,68.67025051719192,21.819441237589476
Elk,PA,12425,41.400402414486926,57.13480885311871,Romney,20302,61.20086690966408,15.734406438631785
Erie,PA,112732,57.77951247205762,40.89522052301032,Obama,176851,63.74405573053023,16.88429194904729
Fayette,PA,48196,45.317038758403186,53.624782139596654,Romney,91681,52.569234628767134,8.307743381193468
Forest,PA,2308,38.73483535528596,59.83535528596187,Romney,3232,71.4108910891089,21.100519930675905
Franklin,PA,62802,30.110506034839656,68.5838030635967,Romney,87406,71.85090268402627,38.473297028757045
Fulton,PA,6148,21.09629147690306,77.74886141834743,Romney,9344,65.79623287671232,56.652569941444376
Greene,PA,13726,40.536208655107096,58.17426781290981,Romney,22663,60.565679742311254,17.63805915780271
Huntingdon,PA,17587,30.60783533291637,67.96497412861773,Romney,28824,61.015126283652506,37.35713879570135
Indiana,PA,36180,39.80928689883913,58.55997788833611,Romney,57378,63.055526508417856,18.75069098949697
Jefferson,PA,17072,26.563964386129328,71.97750702905344,Romney,28549,59.798942169603144,45.413542642924114
