
   Detailed Statistics  
    Departures 
  
  Airport: Austin-Round Rock, TX - Austin-Bergstrom International (AUS)
  Airline: Southwest Airlines (WN)
  Month(s): July
  Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and  31
  Year(s): 2015
  NOTE:  A complete listing of airline  and airport  abbreviations is available. Times are reported in local time using a 24 hour clock.
  Airlines began reporting tarmac times for cancelled and diverted flights in October 2008. Tarmac times for cancelled or diverted flights operated prior to Oct. 1, 2008 are not available. Cause of delay data is available on this database beginning with flights operated in October 2008. For cause of delay data from June 2003, when cause of delay data was first reported, see  BTS Causes of Delay  or the  On-Time Performance database  For an explanation of the Cause of Delay reporting, see Understanding the  Reporting of Causes of Flight Delays and Cancellations. 
  All Cause of Delay (in minutes) are referring to the Arrival Delay.
   

  
  Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,Actual Departure Time,Scheduled Elapsed Time(Minutes),Actual Elapsed Time(Minutes),Departure Delay(Minutes),Wheels-off Time,Taxi-out Time(Minutes),DelayCarrier(Minutes),DelayWeather(Minutes),DelayNational Aviation System(Minutes),DelaySecurity(Minutes),DelayLate Aircraft Arrival(Minutes),
  WN,07/01/2015,0103,N8607M,MDW,06:30,06:52,0165 ,0147,22,07:01,0009,0000,0000,0000,0000,0000,
  WN,07/01/2015,0144,N8609A,SAN,20:55,20:50,0170 ,0158,-5,21:03,0013,0000,0000,0000,0000,0000,
  WN,07/01/2015,0178,N646SW,ELP,20:30,20:45,0090 ,0080,15,20:55,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,0232,N204WN,ATL,05:45,05:49,0135 ,0137,4,06:01,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,0238,N233LV,DAL,12:30,12:34,0055 ,0048,4,12:41,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0285,N526SW,DAL,09:25,09:20,0055 ,0051,-5,09:27,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0311,N734SA,MDW,15:05,15:49,0150 ,0146,44,15:57,0008,0006,0000,0000,0000,0034,
  WN,07/01/2015,0329,N526SW,HOU,16:00,18:07,0050 ,0053,127,18:18,0011,0000,0000,0003,0000,0127,
  WN,07/01/2015,0341,N297WN,OAK,18:00,18:30,0225 ,0211,30,18:46,0016,0000,0000,0000,0000,0016,
  WN,07/01/2015,0356,N648SW,PHX,20:10,21:45,0140 ,0128,95,21:54,0009,0006,0000,0000,0000,0077,
  WN,07/01/2015,0359,N205WN,EWR,06:45,06:47,0225 ,0213,2,06:55,0008,0000,0000,0000,0000,0000,
  WN,07/01/2015,0419,N780SW,MDW,18:15,19:21,0155 ,0145,66,19:28,0007,0007,0000,0000,0000,0049,
  WN,07/01/2015,0454,N657SW,HOU,11:30,13:47,0050 ,0074,137,14:14,0027,0000,0000,0024,0000,0137,
  WN,07/01/2015,0554,N7732A,DEN,20:25,21:05,0135 ,0129,40,21:14,0009,0000,0000,0000,0000,0034,
  WN,07/01/2015,0556,N8619F,BWI,06:00,05:59,0200 ,0187,-1,06:07,0008,0000,0000,0000,0000,0000,
  WN,07/01/2015,0604,N8614M,DEN,14:50,15:02,0130 ,0126,12,15:14,0012,0000,0000,0000,0000,0000,
  WN,07/01/2015,0622,N795SW,MSY,07:20,07:19,0085 ,0071,-1,07:26,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0626,N952WN,HOU,05:35,05:33,0045 ,0049,-2,05:47,0014,0000,0000,0000,0000,0000,
  WN,07/01/2015,0657,N793SA,DAL,17:25,18:14,0055 ,0058,49,18:29,0015,0000,0000,0003,0000,0049,
  WN,07/01/2015,0658,N967WN,DEN,10:45,10:42,0130 ,0118,-3,10:52,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,0664,N969WN,SJC,06:35,06:34,0220 ,0195,-1,06:45,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,0686,N8660A,MCO,17:25,17:44,0155 ,0155,19,17:52,0008,0008,0000,0000,0000,0011,
  WN,07/01/2015,0709,N607SW,FLL,11:10,12:01,0165 ,0159,51,12:10,0009,0018,0000,0000,0000,0027,
  WN,07/01/2015,0771,N252WN,HOU,18:40,18:42,0050 ,0049,2,18:52,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,0801,N629SW,DAL,15:35,16:05,0060 ,0049,30,16:14,0009,0002,0000,0000,0000,0017,
  WN,07/01/2015,0829,N636WN,BWI,17:10,17:38,0205 ,0212,28,17:46,0008,0000,0000,0007,0000,0028,
  WN,07/01/2015,0836,N8325D,BNA,13:30,13:40,0120 ,0114,10,13:47,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0857,N602SW,DAL,10:30,10:30,0055 ,0051,0,10:37,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0862,N8320J,SJC,18:35,18:52,0215 ,0194,17,19:01,0009,0000,0000,0000,0000,0000,
  WN,07/01/2015,0891,N528SW,LBB,16:20,16:16,0070 ,0061,-4,16:23,0007,0000,0000,0000,0000,0000,
  WN,07/01/2015,0893,N251WN,LAS,05:35,05:37,0165 ,0148,2,05:48,0011,0000,0000,0000,0000,0000,
  WN,07/01/2015,1017,N261WN,DAL,06:30,00:00,0060 ,0000,0,00:00,0000,0000,0000,0000,0000,0000,
  WN,07/01/2015,1030,N8651A,PHX,12:25,12:22,0140 ,0122,-3,12:32,0010,0000,0000,0000,0000,0000,
  WN,07/01/2015,1249,N430WN,LAX,05:30,05:29,0185 ,0173,-1,05:43,0014,0000,0000,0000,0000,0000,
  WN,07/01/2015,1255,N602SW,BNA,05:10,05:07,0120 ,0122,-3,05:16,0009,0000,0000,0000,0000,0000,
