total_bill,tip,sex,smoker,day,time,size,fraction
16.99,1.01,Female,No,Sun,Dinner,2,0.05944673337257211
10.34,1.66,Male,No,Sun,Dinner,3,0.16054158607350097
21.01,3.5,Male,No,Sun,Dinner,3,0.16658733936220846
23.68,3.31,Male,No,Sun,Dinner,2,0.1397804054054054
24.59,3.61,Female,No,Sun,Dinner,4,0.14680764538430255
25.29,4.71,Male,No,Sun,Dinner,4,0.18623962040332148
8.77,2.0,Male,No,Sun,Dinner,2,0.22805017103762829
26.88,3.12,Male,No,Sun,Dinner,4,0.11607142857142858
15.04,1.96,Male,No,Sun,Dinner,2,0.13031914893617022
14.78,3.23,Male,No,Sun,Dinner,2,0.2185385656292287
10.27,1.71,Male,No,Sun,Dinner,2,0.1665043816942551
35.26,5.0,Female,No,Sun,Dinner,4,0.14180374361883155
15.42,1.57,Male,No,Sun,Dinner,2,0.10181582360570687
18.43,3.0,Male,No,Sun,Dinner,4,0.16277807921866522
14.83,3.02,Female,No,Sun,Dinner,2,0.20364126770060686
21.58,3.92,Male,No,Sun,Dinner,2,0.18164967562557924
10.33,1.67,Female,No,Sun,Dinner,3,0.1616650532429816
16.29,3.71,Male,No,Sun,Dinner,3,0.22774708410067526
16.97,3.5,Female,No,Sun,Dinner,3,0.20624631703005306
20.65,3.35,Male,No,Sat,Dinner,3,0.16222760290556903
17.92,4.08,Male,No,Sat,Dinner,2,0.22767857142857142
20.29,2.75,Female,No,Sat,Dinner,2,0.13553474618038444
15.77,2.23,Female,No,Sat,Dinner,2,0.14140773620798985
39.42,7.58,Male,No,Sat,Dinner,4,0.19228817858954844
19.82,3.18,Male,No,Sat,Dinner,2,0.16044399596367306
17.81,2.34,Male,No,Sat,Dinner,4,0.13138686131386862
13.37,2.0,Male,No,Sat,Dinner,2,0.14958863126402394
12.69,2.0,Male,No,Sat,Dinner,2,0.15760441292356187
21.7,4.3,Male,No,Sat,Dinner,2,0.19815668202764977
19.65,3.0,Female,No,Sat,Dinner,2,0.15267175572519084
9.55,1.45,Male,No,Sat,Dinner,2,0.1518324607329843
18.35,2.5,Male,No,Sat,Dinner,4,0.13623978201634876
15.06,3.0,Female,No,Sat,Dinner,2,0.199203187250996
20.69,2.45,Female,No,Sat,Dinner,4,0.11841469308844853
17.78,3.27,Male,No,Sat,Dinner,2,0.1839145106861642
24.06,3.6,Male,No,Sat,Dinner,3,0.14962593516209477
16.31,2.0,Male,No,Sat,Dinner,3,0.12262415695892091
16.93,3.07,Female,No,Sat,Dinner,3,0.1813349084465446
18.69,2.31,Male,No,Sat,Dinner,3,0.12359550561797752
31.27,5.0,Male,No,Sat,Dinner,3,0.1598976654940838
16.04,2.24,Male,No,Sat,Dinner,3,0.13965087281795513
17.46,2.54,Male,No,Sun,Dinner,2,0.14547537227949597
13.94,3.06,Male,No,Sun,Dinner,2,0.21951219512195122
9.68,1.32,Male,No,Sun,Dinner,2,0.13636363636363638
30.4,5.6,Male,No,Sun,Dinner,4,0.18421052631578946
18.29,3.0,Male,No,Sun,Dinner,2,0.16402405686167304
22.23,5.0,Male,No,Sun,Dinner,2,0.22492127755285649
32.4,6.0,Male,No,Sun,Dinner,4,0.1851851851851852
28.55,2.05,Male,No,Sun,Dinner,3,0.07180385288966724
18.04,3.0,Male,No,Sun,Dinner,2,0.16629711751662973
12.54,2.5,Male,No,Sun,Dinner,2,0.19936204146730463
10.29,2.6,Female,No,Sun,Dinner,2,0.2526724975704568
34.81,5.2,Female,No,Sun,Dinner,4,0.14938236139040506
9.94,1.56,Male,No,Sun,Dinner,2,0.15694164989939638
25.56,4.34,Male,No,Sun,Dinner,4,0.1697965571205008
19.49,3.51,Male,No,Sun,Dinner,2,0.18009235505387378
38.01,3.0,Male,Yes,Sat,Dinner,4,0.07892659826361484
26.41,1.5,Female,No,Sat,Dinner,2,0.05679666792881484
11.24,1.76,Male,Yes,Sat,Dinner,2,0.15658362989323843
48.27,6.73,Male,No,Sat,Dinner,4,0.13942407292314066
20.29,3.21,Male,Yes,Sat,Dinner,2,0.1582060128141942
13.81,2.0,Male,Yes,Sat,Dinner,2,0.1448225923244026
11.02,1.98,Male,Yes,Sat,Dinner,2,0.17967332123411978
18.29,3.76,Male,Yes,Sat,Dinner,4,0.20557681793329688
17.59,2.64,Male,No,Sat,Dinner,3,0.15008527572484368
20.08,3.15,Male,No,Sat,Dinner,3,0.15687250996015936
