Temperature,DewPoint,Pressure,Date
46.2,37.5,1.0,20100101 00:00
44.6,37.1,1.0,20100101 01:00
44.1,36.9,1.0,20100101 02:00
43.8,36.9,1.0,20100101 03:00
43.5,36.8,1.0,20100101 04:00
43.0,36.5,1.0,20100101 05:00
43.1,36.3,1.0,20100101 06:00
42.3,35.9,1.0,20100101 07:00
42.5,36.2,1.0,20100101 08:00
45.9,37.8,1.0,20100101 09:00
49.4,38.3,1.0,20100101 10:00
52.4,38.3,1.0,20100101 11:00
54.9,38.2,1.0,20100101 12:00
57.1,38.5,1.0,20100101 13:00
58.4,38.2,1.0,20100101 14:00
59.1,38.3,1.0,20100101 15:00
59.1,38.3,1.0,20100101 16:00
58.0,38.7,1.0,20100101 17:00
54.5,38.2,1.0,20100101 18:00
51.3,38.5,1.0,20100101 19:00
49.2,38.4,1.0,20100101 20:00
48.1,38.5,1.0,20100101 21:00
47.2,38.5,1.0,20100101 22:00
46.4,38.4,1.0,20100101 23:00
46.5,38.2,1.0,20100102 00:00
44.9,37.8,1.0,20100102 01:00
44.4,37.7,1.0,20100102 02:00
44.1,37.6,1.0,20100102 03:00
43.9,37.6,1.0,20100102 04:00
43.3,37.3,1.0,20100102 05:00
43.5,37.0,1.0,20100102 06:00
42.6,36.6,1.0,20100102 07:00
42.8,36.9,1.0,20100102 08:00
46.3,38.5,1.0,20100102 09:00
49.9,39.0,1.0,20100102 10:00
53.0,39.1,1.0,20100102 11:00
55.5,39.0,1.0,20100102 12:00
57.7,39.3,1.0,20100102 13:00
59.0,39.0,1.0,20100102 14:00
59.7,38.9,1.0,20100102 15:00
59.7,39.0,1.0,20100102 16:00
58.6,39.3,1.0,20100102 17:00
55.1,38.7,1.0,20100102 18:00
51.8,39.1,1.0,20100102 19:00
49.8,38.8,1.0,20100102 20:00
48.6,38.9,1.0,20100102 21:00
47.6,38.9,1.0,20100102 22:00
46.8,38.7,1.0,20100102 23:00
46.8,38.4,1.0,20100103 00:00
45.2,38.1,1.0,20100103 01:00
44.7,37.8,1.0,20100103 02:00
44.5,37.8,1.0,20100103 03:00
44.1,37.7,1.0,20100103 04:00
43.4,37.3,1.0,20100103 05:00
43.7,37.0,1.0,20100103 06:00
42.8,36.6,1.0,20100103 07:00
43.0,36.8,1.0,20100103 08:00
46.4,38.4,1.0,20100103 09:00
49.9,38.9,1.0,20100103 10:00
53.1,39.1,1.0,20100103 11:00
55.6,38.9,1.0,20100103 12:00
57.8,39.2,1.0,20100103 13:00
59.1,38.8,1.0,20100103 14:00
59.8,38.8,1.0,20100103 15:00
59.8,38.8,1.0,20100103 16:00
58.6,39.0,1.0,20100103 17:00
55.2,38.5,1.0,20100103 18:00
51.8,38.7,1.0,20100103 19:00
49.7,38.5,1.0,20100103 20:00
48.5,38.6,1.0,20100103 21:00
47.5,38.6,1.0,20100103 22:00
46.6,38.4,1.0,20100103 23:00
46.6,38.1,1.0,20100104 00:00
45.0,37.8,1.0,20100104 01:00
44.5,37.4,1.0,20100104 02:00
44.3,37.5,1.0,20100104 03:00
43.9,37.3,1.0,20100104 04:00
43.2,36.9,1.0,20100104 05:00
43.4,36.6,1.0,20100104 06:00
42.6,36.3,1.0,20100104 07:00
42.9,36.6,1.0,20100104 08:00
46.3,38.2,1.0,20100104 09:00
49.8,38.6,1.0,20100104 10:00
52.9,38.8,1.0,20100104 11:00
55.4,38.7,1.0,20100104 12:00
57.6,38.9,1.0,20100104 13:00
59.0,38.6,1.0,20100104 14:00
59.7,38.6,1.0,20100104 15:00
59.7,38.5,1.0,20100104 16:00
58.5,38.8,1.0,20100104 17:00
55.1,38.3,1.0,20100104 18:00
51.6,38.5,1.0,20100104 19:00
49.5,38.3,1.0,20100104 20:00
48.3,38.3,1.0,20100104 21:00
47.3,38.4,1.0,20100104 22:00
46.4,38.2,1.0,20100104 23:00
46.5,38.0,1.0,20100105 00:00
44.9,37.6,1.0,20100105 01:00
44.5,37.4,1.0,20100105 02:00
44.3,37.5,1.0,20100105 03:00
43.9,37.3,1.0,20100105 04:00
43.2,36.9,1.0,20100105 05:00
43.5,36.7,1.0,20100105 06:00
42.7,36.5,1.0,20100105 07:00
43.0,36.8,1.0,20100105 08:00
46.4,38.4,1.0,20100105 09:00
49.9,38.8,1.0,20100105 10:00
53.0,39.0,1.0,20100105 11:00
55.6,38.9,1.0,20100105 12:00
57.8,39.0,1.0,20100105 13:00
59.2,38.7,1.0,20100105 14:00
59.9,38.6,1.0,20100105 15:00
59.9,38.5,1.0,20100105 16:00
58.7,38.9,1.0,20100105 17:00
