CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Arab World,ARB,1960,92495902.0,31.285384211605397
Caribbean small states,CSS,1960,4190810.0,31.5974898513652
Central Europe and the Baltics,CEB,1960,91401583.0,44.5079211390026
East Asia & Pacific (all income levels),EAS,1960,1042475394.0,22.471132204295397
East Asia & Pacific (developing only),EAP,1960,896492991.0,16.917678848089302
Euro area,EMU,1960,265396501.0,62.096946901677505
Europe & Central Asia (all income levels),ECS,1960,667489033.0,55.378977445327905
Europe & Central Asia (developing only),ECA,1960,155317369.0,38.0661286852531
European Union,EUU,1960,409498462.0,61.212897757742994
Fragile and conflict affected situations,FCS,1960,120354582.0,17.891972253143898
Heavily indebted poor countries (HIPC),HPC,1960,162491185.0,12.2360458011676
High income,HIC,1960,907597507.0,62.680331821812715
High income: nonOECD,NOC,1960,186676748.0,56.107863478694895
High income: OECD,OEC,1960,720920759.0,64.2854345248921
Latin America & Caribbean (all income levels),LCN,1960,220564224.0,49.284688388433295
Latin America & Caribbean (developing only),LAC,1960,177682238.0,44.8633081654172
Least developed countries: UN classification,LDC,1960,241072814.0,9.61626121218712
Low & middle income,LMY,1960,2127373057.0,21.2728938836701
Low income,LIC,1960,157188433.0,11.498396251491402
Lower middle income,LMC,1960,942911642.0,19.8105133452822
Middle East & North Africa (all income levels),MEA,1960,105512645.0,34.951333965345995
Middle East & North Africa (developing only),MNA,1960,97869415.0,33.875011607466995
Middle income,MIC,1960,1970184624.0,22.053113572466998
North America,NAC,1960,198624409.0,69.9184025592192
OECD members,OED,1960,786648153.0,62.480915374846106
Other small states,OSS,1960,6590560.0,14.337843636352599
Pacific island small states,PSS,1960,861378.0,22.0437617758986
Small states,SST,1960,11642748.0,21.1205727918357
South Asia,SAS,1960,572036107.0,16.73554548224
Sub-Saharan Africa (all income levels),SSF,1960,228268752.0,14.6313867340196
Sub-Saharan Africa (developing only),SSA,1960,227974937.0,14.616940830425598
Upper middle income,UMC,1960,1027272982.0,24.109480436157302
World,WLD,1960,3034970564.0,33.557608124572894
Afghanistan,AFG,1960,8994793.0,8.221
Albania,ALB,1960,1608800.0,30.705
Algeria,DZA,1960,11124892.0,30.51
American Samoa,ASM,1960,20012.0,66.211
Andorra,ADO,1960,13414.0,58.45
Angola,AGO,1960,5270844.0,10.435
Antigua and Barbuda,ATG,1960,54681.0,39.656
Argentina,ARG,1960,20619075.0,73.611
Armenia,ARM,1960,1867396.0,51.275
Aruba,ABW,1960,54208.0,50.776
Australia,AUS,1960,10276477.0,81.529
Austria,AUT,1960,7047539.0,64.72
Azerbaijan,AZE,1960,3897889.0,52.663000000000004
"Bahamas, The",BHS,1960,109526.0,59.711999999999996
Bahrain,BHR,1960,162501.0,82.32
Bangladesh,BGD,1960,48200702.0,5.135
Barbados,BRB,1960,230934.0,36.777
Belarus,BLR,1960,8198000.0,32.400999999999996
Belgium,BEL,1960,9153489.0,92.46
Belize,BLZ,1960,92068.0,54.028
Benin,BEN,1960,2431620.0,9.275
Bermuda,BMU,1960,44400.0,100.0
Bhutan,BTN,1960,224108.0,3.596
Bolivia,BOL,1960,3693451.0,36.762
Bosnia and Herzegovina,BIH,1960,3214520.0,19.04
Botswana,BWA,1960,524029.0,3.06
Brazil,BRA,1960,72493585.0,46.138999999999996
Brunei Darussalam,BRN,1960,81825.0,43.401
Bulgaria,BGR,1960,7867374.0,37.1
Burkina Faso,BFA,1960,4829291.0,4.7
Burundi,BDI,1960,2786740.0,2.077
Cabo Verde,CPV,1960,202316.0,16.679000000000002
Cambodia,KHM,1960,5722370.0,10.285
Cameroon,CMR,1960,5361367.0,13.937000000000001
Canada,CAN,1960,17909009.0,69.061
Cayman Islands,CYM,1960,7867.0,100.0
Central African Republic,CAF,1960,1503501.0,20.1
Chad,TCD,1960,3002596.0,6.695
Channel Islands,CHI,1960,109419.0,38.7
Chile,CHL,1960,7695692.0,67.836
China,CHN,1960,667070000.0,16.203
Colombia,COL,1960,16480384.0,45.033
Comoros,COM,1960,188732.0,12.550999999999998
"Congo, Dem. Rep.",ZAR,1960,15248246.0,22.3
"Congo, Rep.",COG,1960,1013581.0,31.601
Costa Rica,CRI,1960,1333042.0,34.254
Cote d'Ivoire,CIV,1960,3474724.0,17.679000000000002
Croatia,HRV,1960,4140000.0,30.154
Cuba,CUB,1960,7141129.0,58.401
Curacao,CUW,1960,124826.0,74.71
Cyprus,CYP,1960,572929.0,35.628
Czech Republic,CZE,1960,9602006.0,59.548
Denmark,DNK,1960,4579603.0,73.687
Djibouti,DJI,1960,83636.0,50.325
Dominica,DMA,1960,60016.0,37.846
Dominican Republic,DOM,1960,3294039.0,30.229
Ecuador,ECU,1960,4545548.0,33.878
"Egypt, Arab Rep.",EGY,1960,27072397.0,37.864000000000004
El Salvador,SLV,1960,2762897.0,38.345
Equatorial Guinea,GNQ,1960,252115.0,25.537
Eritrea,ERI,1960,1407631.0,9.751
Estonia,EST,1960,1211537.0,57.533
Ethiopia,ETH,1960,22151218.0,6.433
Faeroe Islands,FRO,1960,34266.0,21.383000000000003
Fiji,FJI,1960,393383.0,29.680999999999997
Finland,FIN,1960,4429634.0,55.29
France,FRA,1960,46814237.0,61.88
French Polynesia,PYF,1960,78083.0,42.281000000000006
Gabon,GAB,1960,499189.0,17.398
"Gambia, The",GMB,1960,367929.0,12.129000000000001
Georgia,GEO,1960,3645600.0,43.068999999999996
Germany,DEU,1960,72814900.0,71.384
Ghana,GHA,1960,6652285.0,23.252
Greece,GRC,1960,8331725.0,55.93600000000001
Greenland,GRL,1960,32500.0,58.534
Grenada,GRD,1960,89861.0,30.331999999999997
Guam,GUM,1960,66741.0,50.147
Guatemala,GTM,1960,4127555.0,31.121
Guinea,GIN,1960,3577413.0,10.472000000000001
Guinea-Bissau,GNB,1960,616407.0,13.6
Guyana,GUY,1960,564222.0,29.009
Haiti,HTI,1960,3866160.0,15.593
Honduras,HND,1960,2002333.0,22.747
"Hong Kong SAR, China",HKG,1960,3075605.0,85.2
Hungary,HUN,1960,9983967.0,55.911
Iceland,ISL,1960,175574.0,80.3
India,IND,1960,449661874.0,17.924
Indonesia,IDN,1960,87792512.0,14.585999999999999
"Iran, Islamic Rep.",IRN,1960,21906905.0,33.735
Iraq,IRQ,1960,7289759.0,42.898999999999994
Ireland,IRL,1960,2828600.0,45.821999999999996
Isle of Man,IMY,1960,48441.0,55.123000000000005
Israel,ISR,1960,2114020.0,76.848
Italy,ITA,1960,50199700.0,59.361000000000004
Jamaica,JAM,1960,1629003.0,33.769
Japan,JPN,1960,92500572.0,63.272
Jordan,JOR,1960,844000.0,50.879
Kazakhstan,KAZ,1960,9714260.0,44.198
Kenya,KEN,1960,8105440.0,7.362
Kiribati,KIR,1960,41234.0,16.29
"Korea, Dem. Rep.",PRK,1960,11424179.0,40.195
"Korea, Rep.",KOR,1960,25012374.0,27.71
Kuwait,KWT,1960,261962.0,74.893
Kyrgyz Republic,KGZ,1960,2172300.0,34.181
Lao PDR,LAO,1960,2119944.0,7.946000000000001
Latvia,LVA,1960,2120979.0,52.867
Lebanon,LBN,1960,1804927.0,42.343
Lesotho,LSO,1960,851412.0,3.512
Liberia,LBR,1960,1120314.0,18.632
Libya,LBY,1960,1434576.0,27.323
Liechtenstein,LIE,1960,16504.0,20.437
Lithuania,LTU,1960,2778550.0,39.46
Luxembourg,LUX,1960,313970.0,69.556
"Macao SAR, China",MAC,1960,171456.0,95.289
"Macedonia, FYR",MKD,1960,1488664.0,34.02
Madagascar,MDG,1960,5099371.0,10.642000000000001
Malawi,MWI,1960,3618604.0,4.39
Malaysia,MYS,1960,8160975.0,26.598000000000003
Maldives,MDV,1960,89875.0,11.173
Mali,MLI,1960,5263730.0,11.065999999999999
Malta,MLT,1960,326550.0,90.12899999999999
Marshall Islands,MHL,1960,14665.0,35.584
Mauritania,MRT,1960,858170.0,6.88
Mauritius,MUS,1960,659351.0,33.177
Mexico,MEX,1960,38174114.0,50.753
"Micronesia, Fed. Sts.",FSM,1960,44539.0,22.311999999999998
Moldova,MDA,1960,2544000.0,23.424
Monaco,MCO,1960,22454.0,100.0
Mongolia,MNG,1960,955514.0,35.679
Montenegro,MNE,1960,474203.0,18.788
Morocco,MAR,1960,12328534.0,29.357
Mozambique,MOZ,1960,7493278.0,4.769
Myanmar,MMR,1960,21486424.0,19.226
Namibia,NAM,1960,602545.0,17.909000000000002
Nepal,NPL,1960,10056945.0,3.48
Netherlands,NLD,1960,11486631.0,59.751999999999995
New Caledonia,NCL,1960,79000.0,37.36
New Zealand,NZL,1960,2371800.0,75.998
Nicaragua,NIC,1960,1774696.0,39.580999999999996
Niger,NER,1960,3395212.0,5.792999999999999
Nigeria,NGA,1960,45211614.0,15.41
Northern Mariana Islands,MNP,1960,10070.0,51.218999999999994
Norway,NOR,1960,3581239.0,49.92
Oman,OMN,1960,551737.0,16.4
Pakistan,PAK,1960,44911810.0,22.104
Palau,PLW,1960,9638.0,56.823
Panama,PAN,1960,1132924.0,41.248999999999995
Papua New Guinea,PNG,1960,1966957.0,3.725
Paraguay,PRY,1960,1902871.0,35.569
Peru,PER,1960,10061519.0,46.81100000000001
Philippines,PHL,1960,26273023.0,30.296999999999997
Poland,POL,1960,29637450.0,47.891999999999996
Portugal,PRT,1960,8857716.0,34.955
Puerto Rico,PRI,1960,2358000.0,44.547
Qatar,QAT,1960,47309.0,85.275
Romania,ROM,1960,18406905.0,34.209
Russian Federation,RUS,1960,119897000.0,53.731
Rwanda,RWA,1960,2933424.0,2.6
Samoa,WSM,1960,108645.0,18.926
San Marino,SMR,1960,15393.0,48.9
Sao Tome and Principe,STP,1960,64255.0,16.073
Saudi Arabia,SAU,1960,4086539.0,31.25
Senegal,SEN,1960,3177560.0,23.0
Seychelles,SYC,1960,41700.0,27.673000000000002
Sierra Leone,SLE,1960,2181701.0,17.352
Singapore,SGP,1960,1646400.0,100.0
Slovak Republic,SVK,1960,4068095.0,33.464
Slovenia,SVN,1960,1584720.0,28.204
Solomon Islands,SLB,1960,117869.0,5.768
Somalia,SOM,1960,2756380.0,17.312
South Africa,ZAF,1960,17396000.0,46.619
South Sudan,SSD,1960,2955044.0,8.748
Spain,ESP,1960,30455000.0,56.567
Sri Lanka,LKA,1960,9896000.0,16.430999999999997
St. Kitts and Nevis,KNA,1960,51197.0,27.644000000000002
St. Lucia,LCA,1960,89901.0,21.46
St. Vincent and the Grenadines,VCT,1960,80948.0,25.943
Sudan,SDN,1960,7527450.0,10.745999999999999
Suriname,SUR,1960,289972.0,47.26
Swaziland,SWZ,1960,349233.0,3.9130000000000003
Sweden,SWE,1960,7484656.0,72.49
Switzerland,CHE,1960,5327827.0,51.019
Syrian Arab Republic,SYR,1960,4592777.0,36.806999999999995
Tajikistan,TJK,1960,2064035.0,33.168
Tanzania,TZA,1960,10074490.0,5.246
Thailand,THA,1960,27397178.0,19.672
Timor-Leste,TMP,1960,499525.0,10.091000000000001
Togo,TGO,1960,1580513.0,10.097999999999999
Tonga,TON,1960,61600.0,17.552
Trinidad and Tobago,TTO,1960,848481.0,17.349
Tunisia,TUN,1960,4220701.0,37.510999999999996
Turkey,TUR,1960,27553280.0,31.515
Turkmenistan,TKM,1960,1593501.0,46.412
Turks and Caicos Islands,TCA,1960,5724.0,47.678999999999995
Tuvalu,TUV,1960,6104.0,15.895
Uganda,UGA,1960,6788211.0,4.417
Ukraine,UKR,1960,42662150.0,46.792
United Arab Emirates,ARE,1960,92612.0,73.5
United Kingdom,GBR,1960,52400000.0,78.444
United States,USA,1960,180671000.0,69.99600000000001
Uruguay,URY,1960,2538651.0,80.241
Uzbekistan,UZB,1960,8789492.0,33.978
Vanuatu,VUT,1960,63701.0,10.404000000000002
"Venezuela, RB",VEN,1960,8146845.0,61.613
Vietnam,VNM,1960,34743000.0,14.7
Virgin Islands (U.S.),VIR,1960,32000.0,56.477
"Yemen, Rep.",YEM,1960,5166311.0,9.1
Zambia,ZMB,1960,3049586.0,18.145
Zimbabwe,ZWE,1960,3752390.0,12.607999999999999
Arab World,ARB,1961,95041593.0,32.0290757076957
Caribbean small states,CSS,1961,4270928.0,31.8190266061615
Central Europe and the Baltics,CEB,1961,92237118.0,45.206665319194
East Asia & Pacific (all income levels),EAS,1961,1045789318.0,23.122180800013105
East Asia & Pacific (developing only),EAP,1961,895784704.0,17.390940911178998
Euro area,EMU,1961,267825309.0,62.575285337977505
Europe & Central Asia (all income levels),ECS,1961,675181708.0,55.91503920729179
Europe & Central Asia (developing only),ECA,1961,158242146.0,38.7597975326341
European Union,EUU,1961,413007006.0,61.6736073879095
Fragile and conflict affected situations,FCS,1961,123125186.0,18.3899159549082
Heavily indebted poor countries (HIPC),HPC,1961,166337526.0,12.583142578097501
High income,HIC,1961,920970907.0,63.2470129357279
High income: nonOECD,NOC,1961,189656817.0,56.97676948275829
High income: OECD,OEC,1961,731314090.0,64.7785824675961
Latin America & Caribbean (all income levels),LCN,1961,226764342.0,50.0734541031726
Latin America & Caribbean (developing only),LAC,1961,182952027.0,45.699941901605705
Least developed countries: UN classification,LDC,1961,246733124.0,9.86225911277725
Low & middle income,LMY,1961,2155067832.0,21.749524080384802
Low income,LIC,1961,160642778.0,11.779523499282401
Lower middle income,LMC,1961,964242763.0,20.042609761046396
Middle East & North Africa (all income levels),MEA,1961,108392645.0,35.70806724630621
Middle East & North Africa (developing only),MNA,1961,100483718.0,34.595474302334196
Middle income,MIC,1961,1994425054.0,22.5529559777173
North America,NAC,1961,202007500.0,70.31954523965689
OECD members,OED,1961,798937506.0,62.9723559181036
Other small states,OSS,1961,6721830.0,14.7855272193733
Pacific island small states,PSS,1961,889536.0,22.4738850771638
Small states,SST,1961,11882294.0,21.483553759063696
South Asia,SAS,1961,584143236.0,16.8669810943561
Sub-Saharan Africa (all income levels),SSF,1961,233759990.0,14.947589644669304
Sub-Saharan Africa (developing only),SSA,1961,233462001.0,14.932825955042698
Upper middle income,UMC,1961,1030182291.0,24.9002669330015
World,WLD,1961,3076038739.0,34.0732352726371
Afghanistan,AFG,1961,9164945.0,8.508
Albania,ALB,1961,1659800.0,30.943
Algeria,DZA,1961,11404859.0,31.796999999999997
American Samoa,ASM,1961,20478.0,66.641
Andorra,ADO,1961,14376.0,60.983000000000004
Angola,AGO,1961,5367287.0,10.798
