state,county,total_votes,dem_votes,rep_votes,other_votes,dem_share,east_west
AK,"State House District 8, Denali-University",10320,4995,4983,342,50.06,west
AK,"State House District 37, Bristol Bay-Aleuti",4665,1868,2661,136,41.24,west
AK,"State House District 12, Richardson-Glenn H",7589,1914,5467,208,25.93,west
AK,"State House District 13, Greater Palmer",11526,2800,8432,294,24.93,west
AK,"State House District 14, Greater Wasilla",10456,2132,8108,216,20.82,west
AK,"State House District 16, Chugiak-South Mat-",10697,2636,7774,287,25.32,west
AK,"State House District 15, Rural Mat-Su",11086,2510,8227,349,23.38,west
AK,"State House District 39, Bering Straits",5184,2695,2323,166,53.71,west
AK,"State House District 40, Arctic",5000,2137,2686,177,44.31,west
AK,"State House District 2, Sitka-Wrangell-Pete",7735,3468,4029,238,46.26,west
AK,"State House District 3, Juneau-Downtown-Dou",8767,5657,2829,281,66.66,west
AK,"State House District 4, Juneau-Mendenhall V",8736,4161,4302,273,49.17,west
AK,"State House District 6, Interior Villages",6824,2351,4234,239,35.70,west
AK,"State House District 17, Eagle River",9448,2645,6621,182,28.55,west
AK,"State House District 31, Huffman-Ocean View",10220,3596,6419,205,35.91,west
AK,"State House District 25, East Spenard",6443,3233,3042,168,51.52,west
AK,"State House District 18, Military",6411,2046,4252,113,32.48,west
AK,"State House District 29, Campbell-Independe",6962,2684,4127,151,39.41,west
AK,"State House District 30, Lore-Abbott",9183,3486,5500,197,38.79,west
AK,"State House District 24, Midtown-Taku",7688,3380,4127,181,45.02,west
AK,"State House District 20, Mountain View-Wond",5138,2474,2536,128,49.38,west
AK,"State House District 22, University-Airport",6634,3337,3109,188,51.77,west
AK,"State House District 27, Sand Lake",8498,3130,5159,209,37.76,west
AK,"State House District 21, Baxter Bog",8675,3647,4837,191,42.99,west
AK,"State House District 23, Downtown-Rogers Pa",7082,4075,2808,199,59.20,west
AK,"State House District 28, Bayshore-Klatt",9792,3642,5953,197,37.96,west
AK,"State House District 32, Chugach State Park",12307,5176,6867,264,42.98,west
AK,"State House District 19, Muldoon",7372,3095,4106,171,42.98,west
AK,"State House District 26, Turnagain-Inlet Vi",8695,4472,4037,186,52.55,west
AK,"State House District 36, Kodiak",6673,2264,4201,208,35.02,west
AK,"State House District 38, Bethel",4820,2549,2056,215,55.35,west
AK,"State House District 33, Kenai-Soldotna",8909,2089,6571,249,24.12,west
AK,"State House District 35, Homer-Seward",9503,4254,4959,290,46.17,west
AK,"State House District 34, Rural Kenai",9548,1920,7358,270,20.70,west
AK,"State House District 9, City of Fairbanks",7143,2805,4141,197,40.38,west
AK,"State House District 10, Fairbanks-Fort Wai",5615,2074,3392,149,37.95,west
AK,"State House District 11, North Pole",9866,1924,7736,206,19.92,west
AK,"State House District 7, Farmers Loop-Steese",10894,4283,6297,314,40.49,west
AK,"State House District 5, Cordova-Southeast I",7123,3393,3426,304,49.75,west
AK,"State House District 1, Ketchikan",6970,2597,4149,224,38.50,west
MN,Lake of the Woods County,2313,971,1278,64,43.18,west
WA,Whatcom County,100339,58236,40205,1898,59.16,west
MT,Valley County,3911,1645,2121,145,43.68,west
MT,Flathead County,43714,16138,25559,2017,38.70,west
ID,Boundary County,4733,1484,3078,171,32.53,west
MT,Phillips County,2123,638,1423,62,30.95,west
