,date,distinctness of image,temperature (F),position of deflected image,position of slit,displacement of image in divisions,difference between greatest and least,B,Cor,revolutions per second,radius (ft),value of one turn of screw,velocity of light in air (km/s),remarks
0,June  5,3,76,114.85,0.3,114.55,0.17,1.423,-0.132,257.36,28.671999999999997,0.9961399999999999,299850,Electric light.
1,   June  7,2,72,114.64,0.07400000000000001,114.56,0.10,1.5330000000000001,-0.084,257.52,28.655,0.9961399999999999,299740,P.M. Frame inclined at various angles
2,   June  7,2,72,114.58,0.07400000000000001,114.50,0.08,1.5330000000000001,-0.084,257.52,28.647,0.9961399999999999,299900,P.M. Frame inclined at various angles
3,   June  7,2,72,85.91,0.07400000000000001, 85.84,0.12,1.5330000000000001,-0.084,193.14,28.647,0.99598,300070,P.M. Frame inclined at various angles
4,   June  7,2,72,85.97,0.07400000000000001, 85.89,O.07,1.5330000000000001,-0.084,193.14,28.65,0.99598,299930,P.M. Frame inclined at various angles
5,   June  7,2,72,114.61,0.07400000000000001,114-53,0.07,1.5330000000000001,-0.084,257.42,28.65,0.9961399999999999,299850,P.M. Frame inclined at various angles
6,   June  9,3,83,114.54,0.07400000000000001,114.47,0.07,1.5330000000000001,-0.21600000000000003,257.39,28.658,0.9961399999999999,299950,P.M. Frame inclined at various angles
7,   June  9,3,83,114.54,0.07400000000000001,114.46,0.10,1.5330000000000001,-0.21600000000000003,257.39,28.658,0.9961399999999999,299980,P.M. Frame inclined at various angles
8,   June  9,3,83,114.57,0.07400000000000001,114.47,0.08,1.5330000000000001,-0.21600000000000003,257.39,28.662,0.9961399999999999,299980,P.M. Frame inclined at various angles
9,   June  9,3,83,114.57,0.07400000000000001,114.50,0.06,1.5330000000000001,-0.21600000000000003,257.39,28.66,0.9961399999999999,299880,P.M. Frame inclined at various angles
10,   June  9,2,83,114.61,0.07400000000000001,114.53,0.13,1.5330000000000001,-0.21600000000000003,257.39,28.678,0.9961399999999999,300000,P.M. Frame inclined at various angles
11,   June 10,2,90,114.6,0.07400000000000001,114.52,0.11,1.517,-0.3,257.29,28.685,0.9961399999999999,299980,P.M.
12,   June 10,2,90,114.62,0.07400000000000001,114.54,0.08,1.517,-0.3,257.29,28.685,0.9961399999999999,299930,P.M.
13,   June 12,2,71,114.81,0.07400000000000001,114.74,0.09,1.45,-0.07200000000000001,257.45,28.69,0.9961399999999999,299650,A.M.
14,   June 12,2,71,114.78,0.07400000000000001,114.70,0.05,1.45,-0.07200000000000001,257.45,28.69,0.9961399999999999,299760,A.M.
15,   June 12,1,71,114.76,0.07400000000000001,114.68,0.09,1.45,-0.07200000000000001,257.45,28.69,0.9961399999999999,299810,A.M.
16,   June 13,3,72,112.64,0.07400000000000001,112.56,0.09,1.5,-0.084,257.49,28.171999999999997,0.9961399999999999,300000,A.M.
17,   June 13,3,72,112.63,0.07400000000000001,112.56,0.10,1.5,-0.084,257.49,28.171999999999997,0.9961399999999999,300000,A.M.
18,   June 13,2,72,112.65,0.07400000000000001,112.57,0.08,1.5,-0.084,257.49,28.171999999999997,0.9961399999999999,299960,A.M.
19,   June 13,3,79,112.82,0.26,112.56,0.06,1.517,-0.168,257.42,28.178,0.9961399999999999,299960,P.M.
20,   June 13,3,79,112.82,0.26,112.56,0.13,1.517,-0.168,257.42,28.178,0.9961399999999999,299960,P.M.
21,   June 13,3,79,112.83,0.26,112.57,0.07,1.517,-0.168,257.42,28.178,0.9961399999999999,299940,P.M.
22,   June 13,3,79,112.82,0.26,112.56,0.06,1.517,-0.168,257.42,28.178,0.9961399999999999,299960,P.M.
23,   June 13,3,79,112.83,0.26,112.57,0.11,1.517,-0.168,257.42,28.178,0.9961399999999999,299940,P.M.
24,   June 13,3,79,113.41,0.26,113.15,11  ,1.517,-0.168,258.70,28.151999999999997,0.9961399999999999,299880,P.M. Set micrometer and counted oscillations.
25,   June 13,3,79,112.14,0.26,111.88,6   ,1.517,-0.168,255.69,28.151999999999997,0.9961399999999999,299800,Oscillations of image of revolving mirror.
26,   June 14,1,64,112.83,0.26,112.57,0.12,1.5,0.012,257.58,28.151999999999997,0.9961399999999999,299850,A.M.
27,   June 14,1,64,112.83,0.26,112.57,0.05,1.517,0.012,257.60,28.151999999999997,0.9961399999999999,299880,A.M.
28,   June 14,1,65,112.81,0.26,112.55,0.11,1.517,0.0,257.59,28.151999999999997,0.9961399999999999,299900,A.M.
29,   June 14,1,66,112.83,0.26,112.57,0.09,1.517,-0.012,257.57,28.151999999999997,0.9961399999999999,299840,A.M.
30,   June 14,1,67,112.83,0.26,112.57,0.12,1.517,-0.024,257.56,28.151999999999997,0.9961399999999999,299830,A.M.
31,   June 14,1,84,112.78,0.26,112.52,0.06,1.517,-0.228,257.36,28.159000000000002,0.9961399999999999,299790,P.M. Readings taken by Lieut. Nazro.
32,   June 14,1,85,112.76,0.26,112.50,0.08,1.5,-0.24,257.33,28.159000000000002,0.9961399999999999,299810,P.M. Readings taken by Lieut. Nazro.
33,   June 14,1,84,112.72,0.26,112.46,0.08,1.483,-0.228,257.32,28.159000000000002,0.9961399999999999,299880,P.M. Readings taken by Lieut. Nazro.
34,   June 14,1,84,112.73,0.26,112.47,0.09,1.483,-0.228,257.32,28.159000000000002,0.9961399999999999,299880,P.M.
35,   June 14,1,84,112.75,0.26,112.49,0.09,1.483,-0.228,257.32,28.129,0.9961399999999999,299830,P.M.
36,   June 17,2,62,112.85,0.26,112.59,0.09,1.517,0.036000000000000004,257.62,28.149,0.9961399999999999,299800,A.M.
37,   June 17,2,63,112.84,0.26,112.58,0.06,1.5,0.024,257.59,28.149,0.9961399999999999,299790,A.M.
38,   June 17,1,64,112.85,0.26,112.59,0.07,1.5,0.012,257.58,28.149,0.9961399999999999,299760,A.M.
39,   June 17,3,77,112.8,0.26,112.54,0.07,1.5,-0.14400000000000002,257-43,28.156999999999996,0.9961399999999999,299800,P.M. Readings taken by Mr. Clason.
