# Data from Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Proceedings of the Royal Society B 283(1835): 20160506. http://dx.doi.org/10.1098/rspb.2016.0506
# Data from Dryad repository, Straub L, Villamar-Bouza L, Bruckner S, Chantawannakul P, Gauthier L, Khongphinitbunjong K, Retschnig G, Troxler A, Vidondo-Curras B, Neumann P, Williams GR (2016) Data from: Neonicotinoid insecticides can serve as inadvertent insect contraceptives. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.bs515
# Taken from the Excel file from the "Drone Sperm Data" sheet.
Specimen,Treatment,Environment,TreatmentNCSS,Sample ID,Colony,Cage,Sample,Sperm Volume per 500 ul,Quantity,ViabilityRaw (%),Quality,Age (d),Infertil,AliveSperm,Quantity Millions,Alive Sperm Millions,Dead Sperm Millions
227,Control,Cage,1,C2-1-1,2,1,1,2150000,2150000,96.7263814616756,96.7263814616756,14,0,2079617,2.15,2.079617,0.070383
228,Control,Cage,1,C2-1-2,2,1,2,2287500,2287500,96.3498079760595,96.3498079760595,14,0,2204001,2.2875,2.204001,0.083499
229,Control,Cage,1,C2-1-3,2,1,3,87500,87500,98.75,98.75,14,0,86406,0.0875,0.086406,0.001094
230,Control,Cage,1,C2-1-4,2,1,4,1875000,1875000,93.2874208336941,93.2874208336941,14,0,1749139,1.875,1.749139,0.125861
231,Control,Cage,1,C2-1-5,2,1,5,1587500,1587500,97.7925061050061,97.7925061050061,14,0,1552456,1.5875,1.552456,0.035044
232,Control,Cage,1,C2-1-6,2,1,6,2600000,2600000,99.3110435663627,99.3110435663627,14,0,2582087,2.6,2.582087,0.017913
233,Control,Cage,1,C2-1-7,2,1,7,3412500,3412500,96.9269279143752,96.9269279143752,14,0,3307631,3.4125,3.307631,0.104869
234,Control,Cage,1,C2-1-8,2,1,8,2562500,2562500,90.4013147346481,90.4013147346481,14,0,2316533,2.5625,2.316533,0.245967
235,Control,Cage,1,C2-1-9,2,1,9,87500,87500,97.3765432098765,97.3765432098765,14,0,85204,0.0875,0.085204,0.002296
236,Control,Cage,1,C2-2-1,2,2,1,1325000,1325000,100,100,14,0,1325000,1.325,1.325,0
244,Control,Cage,1,C2-2-10,2,2,10,87500,87500,50,50,14,0,43750,0.0875,0.04375,0.04375
237,Control,Cage,1,C2-2-2,2,2,2,1025000,1025000,97.4219443359481,97.4219443359481,14,0,998574,1.025,0.998574,0.026426
238,Control,Cage,1,C2-2-3,2,2,3,3500000,3500000,98.952595402898,98.952595402898,14,0,3463340,3.5,3.46334,0.03666
239,Control,Cage,1,C2-2-4,2,2,4,2300000,2300000,99.4550724637681,99.4550724637681,14,0,2287466,2.3,2.287466,0.012534
240,Control,Cage,1,C2-2-5,2,2,5,2012500,2012500,96.8066378066378,96.8066378066378,14,0,1948233,2.0125,1.948233,0.064267
241,Control,Cage,1,C2-2-6,2,2,6,2712500,2712500,96.0334578275755,96.0334578275755,14,0,2604907,2.7125,2.604907,0.107593
242,Control,Cage,1,C2-2-7,2,2,7,2062500,2062500,89.8484848484848,89.8484848484848,14,0,1853125,2.0625,1.853125,0.209375
243,Control,Cage,1,C2-2-8,2,2,8,0,0,97.1783101955516,,14,1,0,0,0,0
247,Control,Cage,1,C2-3-1,2,3,1,2412500,2412500,95.86426295,95.86426295,14,0,2312725,2.4125,2.312725,0.099775
255,Control,Cage,1,C2-3-10,2,3,10,1525000,1525000,98.83415435,98.83415435,14,0,1507220,1.525,1.50722,0.01778
248,Control,Cage,1,C2-3-2,2,3,2,387500,387500,94.53596009,94.53596009,14,0,366326,0.3875,0.366326,0.021174
249,Control,Cage,1,C2-3-3,2,3,3,200000,200000,100,100,14,0,200000,0.2,0.2,0
250,Control,Cage,1,C2-3-4,2,3,4,3362500,3362500,96.92763298,96.92763298,14,0,3259191,3.3625,3.259191,0.103309
256,Control,Cage,1,C2-3-5,2,3,5,2612500,2612500,100,100,14,0,2612500,2.6125,2.6125,0
251,Control,Cage,1,C2-3-6,2,3,6,3200000,3200000,97.1678744,97.1678744,14,0,3109371,3.2,3.109371,0.090629
252,Control,Cage,1,C2-3-7,2,3,7,3637500,3637500,94.02554961,94.02554961,14,0,3420179,3.6375,3.420179,0.217321
253,Control,Cage,1,C2-3-8,2,3,8,625000,625000,96.9047619,96.9047619,14,0,605654,0.625,0.605654,0.019346
254,Control,Cage,1,C2-3-9,2,3,9,200000,200000,92.06349206,92.06349206,14,0,184126,0.2,0.184126,0.015874
167,Control,Cage,1,C5-1-1,5,4,1,4000000,4000000,44.99212781,44.99212781,14,0,1799685,4,1.799685,2.200315
168,Control,Cage,1,C5-1-2,5,4,2,2325000,2325000,90.58405696,90.58405696,14,0,2106079,2.325,2.106079,0.218921
169,Control,Cage,1,C5-1-3,5,4,3,3362500,3362500,89.99798133,89.99798133,14,0,3026182,3.3625,3.026182,0.336318
170,Control,Cage,1,C5-1-4,5,4,4,1362500,1362500,77.63426433,77.63426433,14,0,1057766,1.3625,1.057766,0.304734
171,Control,Cage,1,C5-1-5,5,4,5,4725000,4725000,69.88498509,69.88498509,14,0,3302065,4.725,3.302065,1.422935
172,Control,Cage,1,C5-1-6,5,4,6,2650000,2650000,99.25925926,99.25925926,14,0,2630370,2.65,2.63037,0.01963
173,Control,Cage,1,C5-1-7,5,4,7,3212500,3212500,94.2715963,94.2715963,14,0,3028475,3.2125,3.028475,0.184025
174,Control,Cage,1,C5-1-8,5,4,8,3437500,3437500,94.2715963,94.2715963,14,0,3240586,3.4375,3.240586,0.196914
127,Control,Cage,1,C5-2-1,5,5,1,1862500,1862500,85.14155715,85.14155715,14,0,1585761,1.8625,1.585761,0.276739
128,Control,Cage,1,C5-2-2,5,5,2,1800000,1800000,84.92303589,84.92303589,14,0,1528614,1.8,1.528614,0.271386
129,Control,Cage,1,C5-2-3,5,5,3,125000,125000,87.52340007,87.52340007,14,0,109404,0.125,0.109404,0.015596
130,Control,Cage,1,C5-2-4,5,5,4,3000000,3000000,86.91854637,86.91854637,14,0,2607556,3,2.607556,0.392444
131,Control,Cage,1,C5-2-5,5,5,5,3000000,3000000,74.41948449,74.41948449,14,0,2232584,3,2.232584,0.767416
132,Control,Cage,1,C5-2-6,5,5,6,1262500,1262500,90.65708784,90.65708784,14,0,1144545,1.2625,1.144545,0.117955
134,Control,Cage,1,C5-2-7,5,5,7,2550000,2550000,73.1876968,73.1876968,14,0,1866286,2.55,1.866286,0.683714
