Country ,Continent,female literacy,fertility,population
Chine,ASI,90.5,1.769,"1,324,655,000"
Inde,ASI,50.8,2.682,"1,139,964,932"
USA,NAM,99,2.077,"304,060,000"
Indonésie,ASI,88.8,2.132,"227,345,082"
Brésil,LAT,90.2,1.827,"191,971,506"
Pakistan,ASI,40,3.872,"166,111,487"
Bangladesh,ASI,49.8,2.288,"160,000,128"
Nigéria,AF,48.8,5.173,"151,212,254"
Fédération de Russie,EUR,99.4,1.393,"141,950,000"
Japan,ASI,99,1.262,"127,704,000"
Mexique,LAT,91.5,2.156,"106,350,434"
Philippines,ASI,93.9,3.026,"90,348,437"
Viet Nam,ASI,90.2,2.033,"86,210,781"
Germany,EUR,99,1.324,"82,110,097"
Egypte,AF,57.8,2.816,"81,527,172"
Ethiopie,AF,22.8,5.211,"80,713,434"
Turquie,ASI,81.3,2.1,"73,914,260"
"Iran, République islamique d'",ASI,77.2,1.781,"71,956,322"
Thaïlande,ASI,91.5,1.822,"67,386,383"
Rép. Démocratique du Congo,AF,56.1,5.908,"64,256,635"
France,EUR,99,1.881,"62,277,432"
UK,EUR,99,1.852,"61,414,062"
Italie,EUR,98.5,1.39,"59,832,179"
Myanmar,ASI,89.2,2.281,"49,563,019"
Afrique du Sud,AF,88.1,2.505,"48,687,000"
South Korea,ASI,96.6,1.224,"48,607,000"
Ukraine,EUR,99.6,1.361,"46,258,200"
Espagne,EUR,96.9,1.468,"45,555,716"
Colombie,LAT,93.4,2.404,"45,012,096"
République-Unie de Tanzanie,AF,66.3,5.52,"42,483,923"
Soudan,AF,59.6,4.058,"41,347,723"
Argentine,LAT,97.7,2.223,"39,882,980"
Kenya,AF,82.8,4.859,"38,765,312"
Pologne,EUR,99.3,1.267,"38,125,759"
Algérie,AF,63.9,2.342,"34,373,426"
Canada,NAM,99,1.579,"33,311,400"
Ouganda,AF,66.8,6.254,"31,656,865"
Maroc,AF,44.1,2.334,"31,605,616"
Iraq,ASI,69.2,3.961,"30,711,152"
Afghanistan,ASI,12.6,6.505,"29,021,099"
Pérou,LAT,84.6,2.53,"28,836,700"
Népal,ASI,45.4,2.823,"28,809,526"
Venezuela,LAT,94.9,2.498,"27,935,000"
Ouzbékistan,ASI,98.9,2.248,"27,313,700"
Malaisie,ASI,89.8,2.508,"27,014,337"
Arabie saoudite,ASI,80.2,3.04,"24,645,686"
Rép. populaire démocratique de Corée,ASI,100,1.854,"23,818,753"
Ghana,AF,59.3,4.22,"23,350,927"
Yémen,ASI,42.8,5.1,"22,917,485"
Mozambique,AF,40.1,4.967,"22,382,533"
Roumanie,EUR,96.9,1.325,"21,513,622"
Côte d'Ivoire,AF,44.3,4.514,"20,591,302"
République arabe syrienne,ASI,77.2,3.173,"20,581,290"
Sri Lanka,ASI,89.1,2.308,"20,156,204"
Madagascar,AF,65.3,4.62,"19,110,941"
Cameroun,AF,67.8,4.541,"19,088,385"
Angola,AF,57,5.637,"18,020,668"
Chili,LAT,98.7,1.926,"16,803,952"
Netherlands,EUR,99,1.747,"16,445,593"
Kazakhstan,ASI,99.5,2.294,"15,674,833"
Burkina Faso,AF,21.6,5.841,"15,233,884"
Malawi,AF,65.8,5.455,"14,846,182"
Niger,AF,15.1,7.069,"14,704,318"
Cambodge,ASI,70.9,2.859,"14,562,008"
Guatemala,LAT,68.7,4.018,"13,686,128"
Equateur,LAT,81.7,2.513,"13,481,424"
Mali,AF,18.2,5.405,"12,705,736"
Zambie,AF,61,5.737,"12,620,219"
Zimbabwe,AF,88.8,3.363,"12,462,879"
Sénégal,AF,33,4.89,"12,211,181"
Grèce,EUR,95.9,1.385,"11,237,094"
Cuba,LAT,99.8,1.505,"11,204,735"
Tchad,AF,21.9,6.081,"10,913,667"
Belgium,EUR,99,1.784,"10,708,433"
Portugal,EUR,92.9,1.378,"10,622,413"
Czech rep,EUR,99,1.45,"10,424,336"
Tunisie,AF,71,1.841,"10,327,800"
Hongrie,EUR,98.9,1.37,"10,038,188"
République dominicaine,LAT,88.3,2.612,"9,952,711"
Guinée,AF,26.4,5.329,"9,833,055"
Rwanda,AF,66.1,5.33,"9,720,694"
Bolivie,LAT,86,3.371,"9,694,113"
Bélarus,EUR,99.7,1.281,"9,680,850"
Sweden,EUR,99,1.871,"9,219,637"
