band,species,"Beak length, mm","Beak depth, mm"
2,fortis,9.4,8
9,fortis,9.2,8.3
12,fortis,9.5,7.5
15,fortis,9.5,8
305,fortis,11.5,9.9
307,fortis,11.1,8.6
308,fortis,9.9,8.4
309,fortis,11.5,9.8
311,fortis,10.8,9.2
312,fortis,11.3,9
313,fortis,11.5,9.5
314,fortis,11.5,8.9
315,fortis,9.7,8.8
316,fortis,10.9,9.7
316,fortis,10.9,9.85
320,fortis,10.1,8.9
321,fortis,10.6,8.5
323,fortis,9.6,8.2
324,fortis,10.3,9.3
326,fortis,10.5,9.1
328,fortis,10.5,8.8
329,fortis,10.9,9.4
330,fortis,11.2,9.6
340,fortis,9.4,8.5
341,fortis,10.1,8.1
342,fortis,9.6,8
343,fortis,10.5,9.7
344,fortis,9.9,8.2
345,fortis,9.9,8.4
346,fortis,9.6,7.9
347,fortis,10.7,9.3
348,fortis,11.8,10.5
349,fortis,10.2,9.7
350,fortis,10.9,9.6
352,fortis,9.3,7.7
354,fortis,11.6,9.8
355,fortis,11.2,9.8
356,fortis,10.1,8.5
360,fortis,10.7,9.2
366,fortis,11,10.1
368,fortis,10.8,9
369,fortis,10.2,9
401,fortis,10.8,9.4
402,fortis,10.4,8.8
403,fortis,11.2,9.9
405,fortis,11.4,9.9
410,fortis,10.9,8.9
411,fortis,10.4,9.4
413,fortis,9.7,8.2
414,fortis,10.2,8.2
415,fortis,9.2,8.1
416,fortis,10.1,8.4
417,fortis,11,10.1
418,fortis,10.3,8.6
419,fortis,10.2,8.5
420,fortis,11,9.7
422,fortis,11,10.3
423,fortis,10.1,8.6
424,fortis,10.7,9.3
425,fortis,10.7,8.9
426,fortis,11,9.7
427,fortis,12,10.2
428,fortis,11.6,10.2
450,fortis,9.9,8.5
451,fortis,10.8,8.8
452,fortis,10.5,8.9
453,fortis,10,8.7
454,fortis,9.6,9.3
455,fortis,11,9.7
456,fortis,10.2,9.6
457,fortis,9.7,7.85
458,fortis,11.1,9.6
459,fortis,10.4,9.3
461,fortis,11.1,9.8
462,fortis,10.2,8.8
463,fortis,10.3,9.1
465,fortis,9.9,9
466,fortis,11,10.4
468,fortis,10.8,9
473,fortis,10.5,9.5
474,fortis,10.5,8.7
475,fortis,11.2,9.6
476,fortis,11.2,9.4
477,fortis,11.7,9.5
479,fortis,10.5,8.6
501,fortis,10.5,9.9
502,fortis,11.2,9.4
503,fortis,10,9.1
504,fortis,10.4,8.6
505,fortis,10.8,9.3
506,fortis,11.1,9.2
507,fortis,10.3,8.8
509,fortis,11.1,9.2
510,fortis,9.8,8.3
511,fortis,10.5,8.8
512,fortis,11,9.4
513,fortis,11.2,10.4
514,fortis,9.8,8.5
515,fortis,9.8,7.9
516,fortis,9.8,7.9
517,fortis,10.3,10.1
518,fortis,11.3,9.8
519,fortis,10,8.3
520,fortis,11.1,9.4
521,fortis,10,9
522,fortis,10.3,8.4
524,fortis,10.2,8.7
526,fortis,10.4,9.2
527,fortis,11,9.5
528,fortis,11.5,10.1
529,fortis,11.8,9.8
560,fortis,10.2,8.5
561,fortis,11.7,10.2
563,fortis,10.1,8.6
564,fortis,10.2,9.3
565,fortis,9.8,8.7
566,fortis,10.6,8.9
567,fortis,10,8.4
572,fortis,12.1,10.3
