mid_parent,mid_offspring
8.3318,8.4190
8.4035,9.2468
8.5317,8.1532
8.7202,8.0089
8.7089,8.2215
8.7541,8.3734
8.7730,8.5025
8.8107,8.6392
8.7919,8.7684
8.8069,8.8139
8.6523,8.7911
8.6146,8.9051
8.6938,8.9203
8.7127,8.8747
8.7466,8.9430
8.7504,9.0038
8.7805,8.9810
8.7428,9.0949
8.7164,9.2696
8.8032,9.1633
8.8258,9.1785
8.8560,9.1937
8.9012,9.2772
8.9125,9.0722
8.8635,8.9658
8.8258,8.9658
8.8522,8.5025
8.8974,8.4949
8.9427,8.4949
8.9879,8.5633
8.9615,8.6013
8.9238,8.6468
8.9351,8.1532
9.0143,8.3734
9.0558,8.6620
9.0596,8.6924
8.9917,8.7456
8.9050,8.8367
8.9314,8.8595
8.9465,8.9658
8.9879,8.9582
8.9804,8.8671
9.0219,8.8671
9.0520,8.9430
9.0407,9.0646
9.0407,9.1405
8.9955,9.2089
8.9992,9.2848
8.9992,9.3759
9.0747,9.4899
9.0747,9.4519
9.5385,8.1228
9.4781,8.2595
9.4517,8.3127
9.3537,8.4949
9.2707,8.6013
9.1199,8.4646
9.1689,8.5329
9.1425,8.7532
9.1350,8.8823
9.1011,9.0342
9.1727,8.6392
9.2217,8.6772
9.2255,8.6316
9.2821,8.7532
9.3235,8.8291
9.3198,8.8975
9.3198,8.9734
9.3198,9.0494
9.3273,9.1253
9.3725,9.1253
9.3989,9.1253
9.4253,9.1785
9.4593,9.2848
9.4442,9.4595
9.4291,9.3608
9.2632,9.2089
9.2293,9.2544
9.1878,9.3684
9.1425,9.3684
9.1275,9.2316
9.1802,9.1709
9.1765,9.2316
9.2481,9.0342
9.2481,8.8899
9.1991,8.8291
9.1689,8.9810
9.1765,8.8975
9.2406,10.4089
9.3198,10.1886
9.3235,9.7633
9.1991,9.7329
9.2971,9.6114
9.2443,9.5051
9.3160,9.5127
9.2934,9.3684
9.3914,9.6266
9.3989,9.5354
9.5121,10.0215
9.6176,10.0215
9.5535,9.6266
9.4668,9.6038
9.3725,9.4063
9.3348,9.2316
9.3763,9.3380
9.3839,9.2620
9.4216,9.2620
9.4065,9.4063
9.3348,9.4367
9.4442,9.0342
9.4367,8.9430
9.5083,8.9203
9.4480,8.7835
9.4781,8.7835
9.5950,9.0570
9.6101,8.9354
9.5686,8.8975
9.6365,8.8139
9.7119,8.8671
9.8213,9.0873
9.8250,9.2848
9.7609,9.2392
9.6516,9.2924
9.5988,9.4063
9.5460,9.3152
9.6516,9.4899
9.7572,9.5962
9.8854,9.6873
10.0023,9.5203
9.3914,9.6646
