population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Region
34811059.0,2.73,0.1,3.328944661018629,24.5962,12314.0,129.9049,75.3,29.5,Middle East & North Africa
19842251.0,6.43,2.0,1.4743533878509398,22.25083,7103.0,130.1247,58.3,192.0,Sub-Saharan Africa
40381860.0,2.24,0.5,4.78516998252535,27.5017,14646.0,118.8915,75.5,15.4,America
2975029.0,1.4,0.1,1.8041062172001,25.35542,7383.0,132.8108,72.5,20.0,Europe & Central Asia
21370348.0,1.96,0.1,18.0163132681972,27.56373,41312.0,117.3755,81.5,5.2,East Asia & Pacific
8331465.0,1.41,0.3,8.18316001754696,26.46741,43952.0,124.1394,80.4,4.6,Europe & Central Asia
8868713.0,1.99,0.1,5.10953829181389,25.65117,14365.0,128.6024,70.6,43.3,Europe & Central Asia
348587.0,1.89,3.1,3.13192132134112,27.24594,24373.0,124.3862,72.2,14.5,America
148252473.0,2.38,0.06,0.31916100201885805,20.39742,2265.0,125.0307,68.4,55.9,South Asia
277315.0,1.83,1.3,6.00827883508462,26.384390000000003,16075.0,126.394,75.3,15.4,America
9526453.0,1.42,0.2,6.48817388016763,26.16443,14488.0,129.7968,70.1,7.2,Europe & Central Asia
10779155.0,1.82,0.2,9.79733671427737,26.75915,41641.0,121.8227,79.4,4.7,Europe & Central Asia
306165.0,2.91,2.4,1.3601259202571898,27.02255,8293.0,120.9224,70.7,20.1,America
8973525.0,5.27,1.2,0.5375391835148801,22.41835,1646.0,130.2723,63.2,116.3,Sub-Saharan Africa
694990.0,2.51,0.2,0.601210310020156,22.8218,5663.0,125.1258,67.6,48.1,South Asia
9599916.0,3.48,0.2,1.43182915030318,24.43335,5066.0,122.4155,70.9,52.0,America
1967866.0,2.86,24.9,2.5472054915144904,22.12984,13858.0,133.1307,61.2,63.8,Sub-Saharan Africa
194769696.0,1.9,0.45,2.02377283620826,25.78623,13906.0,124.8745,73.9,18.6,America
7513646.0,1.43,0.1,6.69013908249446,26.54286,15368.0,128.4721,73.2,13.7,Europe & Central Asia
14709011.0,6.04,1.2,0.109419170900456,21.27157,1358.0,130.6651,59.4,130.4,Sub-Saharan Africa
8821795.0,6.48,3.5,0.031388801289793995,21.50291,723.0,134.1955,57.4,108.6,Sub-Saharan Africa
13933660.0,3.05,0.6,0.287547495737188,20.80496,2442.0,117.5528,66.2,51.5,East Asia & Pacific
19570418.0,5.17,5.3,0.29554163922618,23.68173,2571.0,127.2823,56.6,113.8,Sub-Saharan Africa
33363256.0,1.68,0.2,16.350398627330502,27.4521,41468.0,118.0571,80.7,5.8,America
11139740.0,6.81,3.4,0.047839126373075,21.48569,1753.0,127.864,54.8,168.0,Sub-Saharan Africa
16645940.0,1.89,0.4,4.24025913623095,27.01542,18698.0,125.5417,78.9,8.9,America
44901660.0,2.43,0.5,1.4760918200836202,24.94041,10489.0,124.0235,75.1,19.7,America
665414.0,5.05,0.06,0.17885306407817494,22.06131,1440.0,132.1354,62.6,91.2,Sub-Saharan Africa
3832771.0,5.1,3.5,0.3842204768660961,21.87134,5022.0,131.6935,58.6,72.6,Sub-Saharan Africa
4429506.0,1.91,0.3,1.9119334188978503,26.47897,12219.0,121.35,79.7,10.3,America
19261647.0,4.91,3.7,0.361896602941861,22.56469,2854.0,131.5237,55.9,116.9,Sub-Saharan Africa
4344151.0,1.43,0.06,5.28790257621164,26.596290000000003,21873.0,130.3921,76.5,5.9,Europe & Central Asia
11290239.0,1.5,0.1,2.7017771665481,25.06867,17765.0,126.0594,77.8,6.3,America
5495302.0,1.89,0.2,8.54150780114596,26.13287,45017.0,119.5815,78.7,4.3,Europe & Central Asia
809639.0,3.76,2.6,0.612799523785036,23.38403,2502.0,129.3376,61.0,81.0,Middle East & North Africa
14447600.0,2.73,0.4,2.1105178014248,25.58841,9244.0,122.9864,74.0,26.8,America
78976122.0,2.95,0.06,2.51239420485077,26.73243,9974.0,125.0931,70.1,31.4,Middle East & North Africa
6004199.0,2.32,0.8,1.06776463433017,26.36751,7450.0,119.9321,74.1,21.6,America
686223.0,5.31,4.7,6.798253229396759,23.7664,40143.0,132.0392,56.7,118.4,Sub-Saharan Africa
4500638.0,5.16,0.8,0.08374564419905099,20.88509,1088.0,125.7948,60.4,60.4,Sub-Saharan Africa
