From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Jury Rank,Televote Rank,Jury Points,Televote Points
Albania,Belgium,20,16,24,22,24,25,14,,
Albania,Czech Republic,21,15,25,23,16,22,22,,
Albania,The Netherlands,22,14,23,24,21,24,24,,
Albania,Azerbaijan,19,12,11,21,11,13,19,,
Albania,Hungary,8,13,9,14,9,10,10,1,1
Albania,Italy,4,10,3,7,2,3,2,8,10
Albania,Israel,10,2,18,4,12,8,17,3,
Albania,Bulgaria,11,3,6,13,6,7,3,4,8
Albania,Sweden,16,8,15,6,15,11,8,,3
Albania,Germany,18,17,20,11,17,18,15,,
Albania,France,3,9,1,9,1,2,11,10,
Albania,Poland,14,7,13,20,22,14,6,,5
Albania,Australia,1,1,2,1,3,1,1,12,12
Albania,Cyprus,25,11,21,25,20,23,12,,
Albania,Serbia,15,26,12,15,19,19,26,,
Albania,Lithuania,13,18,22,17,23,20,7,,4
Albania,Croatia,24,19,16,18,18,21,20,,
Albania,Russia,7,4,7,5,7,4,4,7,7
Albania,Spain,9,5,4,12,4,5,23,6,
Albania,Latvia,23,20,17,8,13,17,21,,
Albania,Ukraine,17,25,8,2,8,12,5,,6
Albania,Malta,5,21,5,16,5,9,16,2,
Albania,Georgia,26,22,26,26,26,26,25,,
Albania,Austria,6,23,19,19,14,16,13,,
Albania,United Kingdom,2,6,10,10,10,6,18,5,
Albania,Armenia,12,24,14,3,25,15,9,,2
Armenia,Belgium,12,6,9,6,6,7,17,4,
Armenia,Czech Republic,13,14,12,8,9,10,18,1,
Armenia,The Netherlands,11,12,14,16,10,11,11,,
Armenia,Azerbaijan,25,25,25,19,25,25,25,,
Armenia,Hungary,23,22,10,22,11,18,8,,3
Armenia,Italy,14,13,19,25,20,20,14,,
Armenia,Israel,20,24,22,17,24,24,24,,
Armenia,Bulgaria,4,4,5,5,4,4,15,7,
Armenia,Sweden,21,8,18,21,18,17,9,,2
Armenia,Germany,22,23,20,18,15,21,19,,
Armenia,France,1,1,1,1,1,1,4,12,7
Armenia,Poland,24,10,24,24,22,23,10,,1
Armenia,Australia,6,9,6,9,8,6,12,5,
Armenia,Cyprus,10,3,4,3,5,5,5,6,6
Armenia,Serbia,9,21,11,11,14,12,23,,
Armenia,Lithuania,16,15,16,10,19,14,21,,
Armenia,Croatia,15,19,17,13,17,15,22,,
Armenia,Russia,5,17,7,7,16,9,1,2,12
Armenia,Spain,8,7,8,12,7,8,13,3,
Armenia,Latvia,17,11,13,15,12,13,16,,
Armenia,Ukraine,7,20,21,14,23,16,2,,10
Armenia,Malta,3,5,3,4,3,3,6,8,5
Armenia,Georgia,2,2,2,2,2,2,3,10,8
Armenia,Austria,18,16,23,20,21,22,7,,4
Armenia,United Kingdom,19,18,15,23,13,19,20,,
Australia,Belgium,1,2,1,1,1,1,1,12,12
Australia,Czech Republic,18,23,4,14,22,16,25,,
Australia,The Netherlands,10,14,11,4,10,8,16,3,
Australia,Azerbaijan,7,20,15,15,11,12,22,,
Australia,Hungary,22,6,10,24,23,19,19,,
Australia,Italy,11,16,24,16,16,17,23,,
Australia,Israel,4,3,3,2,2,2,14,10,
Australia,Bulgaria,2,1,7,3,3,3,2,8,10
Australia,Sweden,16,21,22,17,25,23,20,,
Australia,Germany,19,12,16,12,17,14,21,,
Australia,France,5,7,13,7,5,5,4,6,7
Australia,Poland,25,19,14,25,12,22,15,,
Australia,Cyprus,23,18,6,20,21,20,13,,
Australia,Serbia,8,17,21,13,7,11,17,,
Australia,Lithuania,6,4,5,5,4,4,10,7,1
Australia,Croatia,17,8,8,19,13,10,18,1,
Australia,Russia,24,13,17,22,8,18,6,,5
Australia,Spain,3,5,18,6,6,6,9,5,2
Australia,Latvia,14,9,25,8,24,15,11,,
Australia,Ukraine,13,10,9,9,9,9,3,2,8
Australia,Malta,15,24,19,18,14,21,5,,6
Australia,Georgia,21,25,20,21,18,25,24,,
Australia,Austria,20,15,23,23,20,24,8,,3
Australia,United Kingdom,9,11,2,11,15,7,7,4,4
Australia,Armenia,12,22,12,10,19,13,12,,
Austria,Belgium,1,12,10,6,9,6,14,5,
Austria,Czech Republic,12,7,7,9,7,7,23,4,
Austria,The Netherlands,9,11,11,7,16,11,5,,6
Austria,Azerbaijan,23,17,9,8,5,12,24,,
Austria,Hungary,14,16,17,25,19,19,11,,
Austria,Italy,22,18,13,11,22,17,13,,
Austria,Israel,10,14,12,12,15,13,17,,
Austria,Bulgaria,6,10,14,17,20,14,6,,5
Austria,Sweden,3,5,4,10,4,3,4,8,7
Austria,Germany,17,21,24,19,18,23,9,,2
Austria,France,5,3,3,18,3,4,10,7,1
Austria,Poland,20,25,25,23,25,25,1,,12
Austria,Australia,2,1,1,1,2,1,8,12,3
Austria,Cyprus,24,19,21,20,21,24,16,,
Austria,Serbia,13,13,23,24,24,22,7,,4
Austria,Lithuania,16,6,6,16,10,10,20,1,
Austria,Croatia,8,9,5,5,8,5,19,6,
Austria,Russia,21,8,8,4,6,8,3,3,8
Austria,Spain,19,20,20,3,11,15,15,,
Austria,Latvia,18,24,19,22,13,21,18,,
Austria,Ukraine,15,15,16,13,23,16,2,,10
Austria,Malta,11,2,2,2,1,2,25,10,
Austria,Georgia,25,23,15,14,17,20,21,,
Austria,United Kingdom,7,22,22,21,14,18,22,,
Austria,Armenia,4,4,18,15,12,9,12,2,
Azerbaijan,Belgium,17,11,23,23,23,22,16,,
Azerbaijan,Czech Republic,10,23,14,18,10,16,20,,
Azerbaijan,The Netherlands,4,14,21,11,16,13,19,,
Azerbaijan,Hungary,3,22,8,6,3,7,4,4,7
Azerbaijan,Italy,13,21,19,19,21,21,13,,
Azerbaijan,Israel,6,6,4,7,20,8,5,3,6
Azerbaijan,Bulgaria,7,2,6,5,9,3,3,8,8
Azerbaijan,Sweden,23,16,18,16,17,20,12,,
Azerbaijan,Germany,20,19,17,24,22,23,22,,
Azerbaijan,France,12,9,5,20,18,12,7,,4
Azerbaijan,Poland,14,4,11,10,6,9,8,2,3
Azerbaijan,Australia,11,7,3,8,5,4,9,7,2
Azerbaijan,Cyprus,16,20,22,12,19,19,17,,
Azerbaijan,Serbia,21,15,10,21,15,18,24,,
Azerbaijan,Lithuania,8,12,7,9,4,6,18,5,
Azerbaijan,Croatia,9,8,20,14,8,11,21,,
Azerbaijan,Russia,1,1,1,1,1,1,1,12,12
Azerbaijan,Spain,15,10,12,15,7,10,15,1,
Azerbaijan,Latvia,22,13,15,17,13,17,14,,
Azerbaijan,Ukraine,2,3,2,2,2,2,2,10,10
Azerbaijan,Malta,5,5,9,3,14,5,6,6,5
Azerbaijan,Georgia,24,24,24,22,24,24,10,,1
Azerbaijan,Austria,18,18,13,13,11,15,11,,
